Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2019S009428    ;-1;Desconegut;-1;Desconegut;-1;Santa Coloma                                      ;55-71     ;Divendres;2019;12;Desembre;6;16;Tarda;Desconegut;432727.25 ;4588841.54;219.351.891.593.626;414.464.903.149.177
2019S003731    ;-1;Desconegut;-1;Desconegut;-1;Vallvidrera a les Planes / Vesc                   ;;Dimecres;2019;5;Maig;15;9;Matí;Gir indegut o sense precaució;424364.44 ;4586356.76;209.372.609.306.753;414.233.662.721.637
2019S004771    ;-1;Desconegut;-1;Desconegut;-1;Josep Tarradellas / Viriat                        ;;Dimarts;2019;6;Juny;18;17;Tarda;Manca precaució incorporació circulació;428395.22 ;4581569.25;214.252.486.766.781;413.806.167.355.607
2019S005061    ;-1;Desconegut;-1;Desconegut;-1;Lepant / Sant Pere                                ;;Divendres;2019;6;Juny;28;5;Nit;Gir indegut o sense precaució;430512.83 ;4584971.91;216.745.681.141.221;414.114.492.192.814
2019S002767    ;-1;Desconegut;-1;Desconegut;-1;Joan XXIII / Arístides Maillol                    ;;Dilluns;2019;4;Abril;8;18;Tarda;Altres;426410.27 ;4581606.2 ;211.878.420.693.220;413.807.702.781.250
2019S007696    ;-1;Desconegut;-1;Desconegut;-1;Brasil                                            ;22;Dissabte;2019;10;Octubre;5;19;Tarda;Altres;427381.48 ;4581160.18;213.045.152.385.722;413.768.414.656.997
2019S008888    ;-1;Desconegut;-1;Desconegut;-1;Francesc Ferrer i Guàrdia                         ;16-36     ;Diumenge;2019;11;Novembre;17;19;Tarda;Canvi de carril sense precaució;428901.92 ;4580348.09;214.872.741.034.352;413.696.631.318.668
2019S007766    ;-1;Desconegut;-1;Desconegut;-1;Vall d'Hebron / Scala Dei                         ;;Dimarts;2019;10;Octubre;8;12;Matí;Manca d'atenció a la conducció;429698.26 ;4588071.05;215.735.077.762.809;414.392.910.497.758
2019S001219    ;-1;Desconegut;-1;Desconegut;-1;Número 3 Zona Franca                              ;50;Divendres;2019;2;Febrer;15;11;Matí;No respectar distàncies;427781.46 ;4576414.5 ;213.579.956.340.393;413.341.347.517.594
2019S005707    ;-1;Desconegut;-1;Desconegut;-1;Vall d'Hebron                                     ;231;Dijous;2019;7;Juliol;18;14;Tarda;Manca d'atenció a la conducció;429578.92 ;4588090.74;215.592.010.858.117;414.394.579.224.731
2019S005950    ;-1;Desconegut;-1;Desconegut;-1;Mar                                               ;7;Divendres;2019;7;Juliol;26;20;Tarda;Altres;432333.06 ;4580916.09;218.968.744.238.211;413.750.750.018.235
2019S005983    ;-1;Desconegut;-1;Desconegut;-1;Ildefons Cerdà                                    ;01-feb;Diumenge;2019;7;Juliol;28;16;Tarda;Manca d'atenció a la conducció;427857.42 ;4579829.56;213.630.099.498.745;413.648.998.956.339
2019S006759    ;-1;Desconegut;-1;Desconegut;-1;Tiana / Clariana                                  ;;Dissabte;2019;8;Agost;31;12;Matí;Altres;433354.76 ;4588940.76;220.101.949.141.996;414.474.363.475.048
2019S008269    ;-1;Desconegut;-1;Desconegut;-1;A Zona Franca / Número 3 Zona Franca              ;;Divendres;2019;10;Octubre;25;16;Tarda;Canvi de carril sense precaució;428020.43 ;4576283.26;213.867.072.493.585;413.329.741.092.914
2019S009603    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;346402;Trinxant;0014 0014;Divendres;2019;12;Desembre;13;13;Matí;Gir indegut o sense precaució;432139.36 ;4585186.75;218.689.232.658.320;414.135.233.204.685
2019S008478    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0165 0165;Diumenge;2019;11;Novembre;3;14;Tarda;Canvi de carril sense precaució;432111.83 ;4585084.31;218.657.445.486.644;414.125.983.479.005
