Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2017S008429    ;-1;Desconegut;-1;Desconegut;-1;Número 27                                         ;Desconegut;Divendres;2017;10;Octubre;13;8;Matí;Altres;0;2;0;2;2;426936,65;4577079,15;212.562.442;4.134.004.482
2017S007316    ;-1;Desconegut;-1;Desconegut;-1;Número 3 Zona Franca / Número 50 Zona Franca      ;Desconegut;Divendres;2017;9;Setembre;1;13;Matí;No és causa del  vianant;0;2;0;2;2;426503,22;4577014,83;212.045.245;4.133.942.606
2017S010210    ;-1;Desconegut;-1;Desconegut;-1;Litoral (Besòs)                                   ;K128      ;Divendres;2017;12;Desembre;8;21;Tarda;No és causa del  vianant;0;5;0;5;2;430450,5;4579358,49;21.673.561;413.608.855
2017S006364    ;-1;Desconegut;-1;Desconegut;-1;Número 3 Zona Franca                              ;77-111    ;Divendres;2017;7;Juliol;21;2;Nit;No és causa del  vianant;0;1;0;1;2;426842,33;4576816,19;212.452.894;4.133.766.786
2017S004615    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa                               ;0323 0325;Dijous;2017;5;Maig;25;14;Tarda;No és causa del  vianant;0;1;0;1;3;432006,95;4585503,52;2.185.272;41.416.365
2017S007775    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria / Trinxant                              ;0320 0322;Dimecres;2017;9;Setembre;20;12;Matí;No és causa del  vianant;0;1;0;1;2;431822,92;4585470,94;2.183.245;41.416.336
2017S004484    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Trinxant / Indústria                              ;0320 0322;Dissabte;2017;5;Maig;20;21;Tarda;No és causa del  vianant;0;1;0;1;2;431822,92;4585470,94;2.183.245;41.416.336
2017S010680    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0303 0303;Dimarts;2017;12;Desembre;26;20;Tarda;No és causa del  vianant;0;2;0;2;1;431846,11;4585523,1;2.183.561;41.416.372
2017S005152    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0317 0317;Dilluns;2017;6;Juny;12;15;Tarda;Altres;0;1;0;1;1;431894,47;4585568,41;2.184.059;41.416.763
2017S003932    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall                                          ;0011 0011;Dimecres;2017;5;Maig;3;20;Tarda;No és causa del  vianant;0;1;0;1;1;431636,55;4585227,81;2.181.225;41.413.958
2017S010348    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0295 0295;Dijous;2017;12;Desembre;14;20;Tarda;No és causa del  vianant;0;1;0;1;2;431757,04;4585439,98;218.229;41.415.772
2017S000245    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;224802;ST ANTONI M CLARET / Pg Maragall                  ;0092 0092;Dimecres;2017;1;Gener;11;7;Matí;No és causa del  vianant;0;1;0;1;2;431715,17;4585325,84;2.180.453;4.141.579
2017S005695    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret / Guinardó               ;0358 0358;Divendres;2017;6;Juny;30;12;Matí;No és causa del  vianant;0;1;0;1;2;431690,1;4585511,58;218.114;41.416.295
2017S007384    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0258 0260;Dilluns;2017;9;Setembre;4;16;Tarda;No és causa del  vianant;0;0;1;1;2;431235,61;4585067,59;2.176.324;41.412.546
2017S008080    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0258 0260;Dissabte;2017;9;Setembre;30;19;Tarda;No és causa del  vianant;0;1;0;1;2;431235,61;4585067,59;2.176.324;41.412.546
2017S003439    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega / Còrsega                                 ;0659 0659;Dilluns;2017;4;Abril;17;14;Tarda;No és causa del  vianant;0;1;0;1;2;431407,84;4584892,85;2.178.314;41.410.784
2017S002410    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;CÒRSEGA / Dos de Maig                             ;0691 0691;Dissabte;2017;3;Març;25;14;Tarda;No és causa del  vianant;0;4;0;4;2;431524,91;4585013,7;2.177.719;41.410.323
2017S009296    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0199 0199;Dijous;2017;11;Novembre;9;22;Nit;Desobeir el senyal del semàfor;0;1;0;1;1;431288,68;4584964,08;217.674;41.411.445
2017S010102    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Rosselló / Independència                          ;0337 0341;Dilluns;2017;12;Desembre;4;0;Nit;No és causa del  vianant;0;2;0;2;2;431569,05;4584809,35;21.801;41.410.287
