Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2018S009297    ;-1;Desconegut;-1;Desconegut;-1;Pare Pérez del Pulgar                             ;106;Dimarts;2018;12;Desembre;4;18;Tarda;Manca d'atenció a la conducció;432687.83 ;4589691.16;219.295.225.268.107;414.541.392.343.325
2018S006070    ;-1;Desconegut;-1;Desconegut;-1;Joan XXIII                                        ;feb-16;Dilluns;2018;8;Agost;6;12;Matí;No determinada;426640.9  ;4581697.55;212.153.103.162.413;413.816.141.086.725
2018S002030    ;-1;Desconegut;-1;Desconegut;-1;Corts Catalanes                                   ;900;Dimarts;2018;3;Març;13;14;Tarda;No respectar distàncies;432587.59 ;4584475.05;219.233.444.791.618;414.071.510.042.300
2018S005592    ;-1;Desconegut;-1;Desconegut;-1;Martin Luther King                                ;65;Dijous;2018;7;Juliol;19;13;Matí;Desobeir semàfor;432765.75 ;4588432.8 ;219.402.531.212.002;414.428.121.621.969
2018S002762    ;-1;Desconegut;-1;Desconegut;-1;Francesc Ferrer i Guàrdia                         ;16-36     ;Dimecres;2018;4;Abril;11;11;Matí;No determinada;428901.74 ;4580348.8 ;214.872.517.491.332;413.696.695.106.904
2018S004497    ;-1;Desconegut;-1;Desconegut;-1;Motors                                            ;53-59     ;Dilluns;2018;6;Juny;11;18;Tarda;Desobeir altres senyals;427728.32 ;4577932.12;213.498.377.909.127;413.477.987.088.942
2018S004293    ;-1;Desconegut;-1;Desconegut;-1;Corts Catalanes                                   ;900;Diumenge;2018;6;Juny;3;3;Nit;No respectar distàncies;432587.59 ;4584475.05;219.233.444.791.618;414.071.510.042.300
2018S004115    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0272 0274;Dilluns;2018;5;Maig;28;9;Matí;No respectar distàncies;431315.37 ;4585145.28;217.703.859.954.137;414.130.797.515.073
2018S006603    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0033 0035;Dimecres;2018;9;Setembre;5;8;Matí;Altres;431638.05 ;4585369.85;218.087.380.503.432;414.151.299.179.289
2018S003148    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0045 0045;Dimarts;2018;4;Abril;24;8;Matí;Desobeir altres senyals;431600.89 ;4585393.68;218.042.650.489.746;414.153.413.821.361
