Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2020S003074    ;2;Eixample;6;la Sagrada Família;161407;Indústria;0186 0186;Divendres;2020;7;Juliol;10;15;Tarda;No respectar distàncies;431227.31 ;4584872.52;217.711.832.503.088;414.124.613.956.396
2020S003068    ;2;Eixample;7;la Dreta de l'Eixample;144601;Diagonal;0391 0391;Divendres;2020;7;Juliol;10;15;Tarda;Manca d'atenció a la conducció;429700.3  ;4583252.45;215.903.732.200.792;413.977.379.064.109
2020S001720    ;2;Eixample;6;la Sagrada Família;350308;València;0521 0521;Divendres;2020;3;Març;6;21;Tarda;No determinada;431648.21 ;4584360.13;218.221.187.927.315;414.078.823.712.708
2020S005036    ;2;Eixample;6;la Sagrada Família;350308;València;0492 0492;Dilluns;2020;10;Octubre;26;11;Matí;No respectat pas de vianants;431460.95 ;4584179.19;217.999.213.730.330;414.062.367.582.929
2020S006070    ;2;Eixample;7;la Dreta de l'Eixample;305100;Sant Joan;0051 0051;Divendres;2020;12;Desembre;18;19;Tarda;Canvi de carril sense precaució;430974.79 ;4583328.33;217.427.327.039.627;413.985.317.455.266
2020S000042    ;2;Eixample;7;la Dreta de l'Eixample;305100;Sant Joan;0067 0067;Divendres;2020;1;Gener;3;16;Tarda;Gir indegut o sense precaució;430880.87 ;4583424.29;217.313.889.235.591;413.993.879.580.654
2020S000671    ;2;Eixample;7;la Dreta de l'Eixample;335100;Tetuan;0015 0015;Dimarts;2020;1;Gener;28;21;Tarda;Manca precaució incorporació circulació;431076.53 ;4583033.4 ;217.552.380.441.245;413.958.841.322.290
2020S000877    ;2;Eixample;7;la Dreta de l'Eixample;335100;Tetuan;0019 0020;Dimecres;2020;2;Febrer;5;9;Matí;Altres;431275.84 ;4583019.17;217.790.936.924.788;413.957.730.248.214
2020S003471    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0274 0274;Dijous;2020;7;Juliol;30;14;Tarda;Canvi de carril sense precaució;430252.3  ;4582787.35;216.569.353.812.574;413.935.969.774.762
2020S003222    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0274 0274;Divendres;2020;7;Juliol;17;2;Nit;Canvi de carril sense precaució;430277.16 ;4582833.02;216.598.561.971.492;413.940.104.674.814
2020S000714    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0274 0274;Dijous;2020;1;Gener;30;13;Matí;Desobeir semàfor;430277.16 ;4582833.02;216.598.561.971.492;413.940.104.674.814
2020S001464    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0314 0314;Dimecres;2020;2;Febrer;26;20;Tarda;Avançament defectuós/improcedent;430594.16 ;4583143.18;216.974.159.520.270;413.968.313.967.911
2020S004109    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0669B0669B;Dijous;2020;9;Setembre;10;14;Tarda;Desobeir altres senyals;431267;4583221.11;217.778.071.151.424;413.975.910.797.151
2020S002190    ;2;Eixample;6;la Sagrada Família;18505;Aragó;0476 0476;Dijous;2020;5;Maig;14;17;Tarda;Altres;431567.75 ;4584113.44;218.127.721.180.556;414.056.536.678.200
2020S002190    ;2;Eixample;6;la Sagrada Família;18505;Aragó;0476 0476;Dijous;2020;5;Maig;14;17;Tarda;Manca d'atenció a la conducció;431567.75 ;4584113.44;218.127.721.180.556;414.056.536.678.200
2020S005993    ;2;Eixample;6;la Sagrada Família;350308;València;0523 0525;Dimarts;2020;12;Desembre;15;18;Tarda;No cedir la dreta;431686.61 ;4584414.63;218.266.511.516.797;414.083.764.996.843
2020S005410    ;2;Eixample;7;la Dreta de l'Eixample;74404;Catalunya;0012 0013;Dimecres;2020;11;Novembre;18;9;Matí;Manca d'atenció a la conducció;430785.87 ;4582325.78;217.212.808.848.040;413.894.858.605.481
2020S000559    ;2;Eixample;7;la Dreta de l'Eixample;247659;Pau Claris;0171 0171;Divendres;2020;1;Gener;24;11;Matí;Avançament defectuós/improcedent;430121.86 ;4583246.63;216.408.040.369.370;413.977.222.320.647
2020S005945    ;2;Eixample;7;la Dreta de l'Eixample;74506;Catalunya;0029 0029;Dissabte;2020;12;Desembre;12;21;Tarda;Gir indegut o sense precaució;430345.56 ;4582527.49;216.683.886.635.156;413.912.645.871.583
2020S001131    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9998 9998;Divendres;2020;2;Febrer;14;13;Matí;Desobeir altres senyals;430452.15 ;4582422.95;216.812.570.120.767;413.903.322.533.626
2020S000458    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;9998 9998;Dilluns;2020;1;Gener;20;6;Matí;Altres;430452.15 ;4582422.95;216.812.570.120.767;413.903.322.533.626
2020S004838    ;2;Eixample;7;la Dreta de l'Eixample;335100;Tetuan;0025 0025;Dijous;2020;10;Octubre;15;11;Matí;Altres;431114;4583223.38;217.595.037.048.105;413.975.984.324.591
2020S002463    ;2;Eixample;6;la Sagrada Família;68900;Cartagena;0188 0188;Diumenge;2020;6;Juny;7;13;Matí;Gir indegut o sense precaució;431740.06 ;4584265.35;218.332.139.255.143;414.070.365.229.050
2020S004404    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0702 0702;Divendres;2020;9;Setembre;25;19;Tarda;No determinada;431076.53 ;4583033.4 ;217.552.380.441.245;413.958.841.322.290
2020S001082    ;2;Eixample;7;la Dreta de l'Eixample;89004;Consell de Cent;0356 0356;Dimecres;2020;2;Febrer;12;9;Matí;Gir indegut o sense precaució;430687.11 ;4583048.44;217.086.423.044.759;413.959.861.219.061
2020S000922    ;2;Eixample;7;la Dreta de l'Eixample;145003;Girona;0057 0057;Dijous;2020;2;Febrer;6;19;Tarda;Envair calçada contrària;430876.43 ;4583046.5 ;217.312.891.204.172;413.959.849.446.448
2020S003019    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0643 0643;Dimecres;2020;7;Juliol;8;17;Tarda;Canvi de carril sense precaució;430840.01 ;4582839.1 ;217.271.697.828.657;413.941.138.282.026
2020S004417    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0655 0655;Divendres;2020;9;Setembre;25;12;Matí;No determinada;431017.6  ;4582940.01;217.482.958.086.090;413.950.379.452.302
2020S000582    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0655 0655;Dissabte;2020;1;Gener;25;13;Matí;No determinada;430979.95 ;4582939.24;217.437.934.256.827;413.950.277.796.336
2020S001367    ;2;Eixample;7;la Dreta de l'Eixample;250904;Pelai;0015S0015S;Dissabte;2020;2;Febrer;22;20;Tarda;Avançament defectuós/improcedent;430598.43 ;4582085.62;216.991.385.407.759;413.873.066.646.533
