Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2022S007102    ;-1;Desconegut;-1;Desconegut;-1;Prim                                              ;160;Dissabte;2022;11;Novembre;19;21;Tarda;Alcoholèmia;433936,08;4585919,91
2022S006766    ;-1;Desconegut;-1;Desconegut;-1;Foc                                               ;101-139   ;Dilluns;2022;11;Novembre;7;10;Matí;No hi ha causa mediata;428815,19;4579271,99
2022S007861    ;-1;Desconegut;-1;Desconegut;-1;Jordi Girona                                      ;18-26     ;Dijous;2022;12;Desembre;22;21;Tarda;No hi ha causa mediata;426095,42;4582377,28
2022S006073    ;-1;Desconegut;-1;Desconegut;-1;A Zona Franca / Número 3 Zona Franca              ;;Dissabte;2022;10;Octubre;8;21;Tarda;Alcoholèmia;428020,43;4576283,26
2022S000440    ;-1;Desconegut;-1;Desconegut;-1;Corts / Blanca                                    ;;Dimecres;2022;1;Gener;26;0;Nit;No hi ha causa mediata;426626,85;4581292,09
2022S002770    ;-1;Desconegut;-1;Desconegut;-1;Rovira (ascendent)                                ;0;Dilluns;2022;5;Maig;9;17;Tarda;No hi ha causa mediata;430443,36;4585232
2022S004483    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa                               ;0299 0299;Divendres;2022;7;Juliol;22;7;Matí;No hi ha causa mediata;432107,59;4585401,76
2022S005879    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0255X0255X;Divendres;2022;9;Setembre;30;14;Tarda;No hi ha causa mediata;431529,87;4585185,94
2022S006525    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Sant Antoni Maria Claret / Maragall               ;0052 0054;Divendres;2022;10;Octubre;28;18;Tarda;No hi ha causa mediata;431603,55;4585443,43
2022S000138    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall / Sant Antoni Maria Claret               ;0052 0054;Dimarts;2022;1;Gener;11;7;Matí;No hi ha causa mediata;431603,55;4585443,43
2022S003001    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0259 0259;Dimecres;2022;5;Maig;18;16;Tarda;No hi ha causa mediata;431561,96;4585252,15
2022S006744    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria                                         ;0273 0273;Diumenge;2022;11;Novembre;6;8;Matí;Alcoholèmia;431612,38;4585301,04
2022S005420    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall                                          ;0005 0005;Dissabte;2022;9;Setembre;10;1;Nit;No hi ha causa mediata;431670,57;4585221,79
2022S000659    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Indústria / Maragall                              ;0029 0031;Divendres;2022;2;Febrer;4;8;Matí;No hi ha causa mediata;431634,8;4585306,27
2022S002206    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0346 0348;Divendres;2022;4;Abril;15;20;Tarda;No hi ha causa mediata;431582,91;4585408,04
2022S007030    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega / Dos de Maig                             ;0634 0634;Dijous;2022;11;Novembre;17;7;Matí;No hi ha causa mediata;431369,31;4584838,67
2022S002764    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret                          ;0268 0268;Dilluns;2022;5;Maig;9;12;Matí;No hi ha causa mediata;431268,03;4585099,78
2022S005489    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;105304;Dos de Maig / Enamorats                           ;0214 0214;Dimarts;2022;9;Setembre;13;17;Tarda;No hi ha causa mediata;431815,74;4584381,96
2022S001533    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València                                          ;0550 0550;Dimarts;2022;3;Març;15;20;Tarda;No hi ha causa mediata;431775,87;4584470,98
2022S001686    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València                                          ;0592 0600;Dijous;2022;3;Març;24;14;Tarda;No hi ha causa mediata;431949,99;4584641,33
2022S001733    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;18505;Aragó                                             ;0597 0597;Dissabte;2022;3;Març;26;14;Tarda;No hi ha causa mediata;432058,94;4584589,85
2022S006292    ;10;Sant Martí;65;el Clot;161101;Independència / Aragó                             ;0265B0265B;Dimecres;2022;10;Octubre;19;14;Tarda;No hi ha causa mediata;431934,16;4584454,66
2022S004667    ;10;Sant Martí;65;el Clot;209900;Independència                                     ;0068 0078;Dimecres;2022;8;Agost;3;13;Matí;No hi ha causa mediata;432092,78;4584277,78
2022S007619    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana / Mallorca                              ;0151B0151B;Dimarts;2022;12;Desembre;13;19;Tarda;No hi ha causa mediata;432136,49;4585039,63
2022S000823    ;10;Sant Martí;65;el Clot;81603;Clot                                              ;0179 0179;Divendres;2022;2;Febrer;11;9;Matí;No hi ha causa mediata;432427,14;4585226,02
2022S003035    ;10;Sant Martí;65;el Clot;115603;València / Espronceda                             ;0309 0311;Divendres;2022;5;Maig;20;13;Matí;No hi ha causa mediata;432602,82;4585296,58
2022S001232    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana                                         ;0139 0139;Dimarts;2022;3;Març;1;12;Matí;No hi ha causa mediata;432109,76;4584862,88
2022S001827    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València                                          ;0608B0608B;Dimecres;2022;3;Març;30;16;Tarda;No hi ha causa mediata;432044,51;4584734,45
2022S005248    ;10;Sant Martí;73;la Verneda i la Pau;153205;Guipúscoa                                         ;0172 0172;Divendres;2022;9;Setembre;2;16;Tarda;No hi ha causa mediata;433917,87;4586366,5
2022S007647    ;10;Sant Martí;73;la Verneda i la Pau;153205;Guipúscoa                                         ;0162X0162X;Dimecres;2022;12;Desembre;14;19;Tarda;No hi ha causa mediata;433811,72;4586242,45
2022S006677    ;10;Sant Martí;65;el Clot;209900;Meridiana                                         ;0144 0144;Divendres;2022;11;Novembre;4;13;Matí;No hi ha causa mediata;432161,19;4584830,14
2022S004958    ;10;Sant Martí;65;el Clot;226400;Aragó / Bilbao                                    ;0239 0241;Dimecres;2022;8;Agost;17;23;Nit;No hi ha causa mediata;432504,38;4585011,18
2022S001353    ;10;Sant Martí;70;el Besòs i el Maresme;8705;Alfons el Magnànim / Cristóbal de Moura           ;0038 0038;Diumenge;2022;3;Març;6;17;Tarda;No hi ha causa mediata;434418,09;4585527,03
2022S006002    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Guipúscoa                                         ;0251 0251;Dijous;2022;10;Octubre;6;8;Matí;No hi ha causa mediata;433244,1;4585697,5
2022S001620    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria / Ferradura                             ;0057 0057;Diumenge;2022;3;Març;20;18;Tarda;No hi ha causa mediata;433112,87;4586180,86
2022S002015    ;10;Sant Martí;73;la Verneda i la Pau;318906;Santander                                         ;0050 0056;Dimecres;2022;4;Abril;6;10;Matí;No hi ha causa mediata;433475,99;4586760,69
2022S002060    ;10;Sant Martí;73;la Verneda i la Pau;86200;Concili de Trento / Josep Mula                    ;0320X0320X;Dijous;2022;4;Abril;7;20;Tarda;No hi ha causa mediata;433882,31;4586141,12
2022S002771    ;10;Sant Martí;73;la Verneda i la Pau;343200;Trajana                                           ;0030 0032;Dilluns;2022;5;Maig;9;17;Tarda;No hi ha causa mediata;433616,76;4586731,13
2022S004444    ;10;Sant Martí;73;la Verneda i la Pau;266405;Prim                                              ;0163 0165;Dimecres;2022;7;Juliol;20;12;Matí;No hi ha causa mediata;433610,55;4586137,8
2022S005540    ;10;Sant Martí;70;el Besòs i el Maresme;195409;Maresme / Llull                                   ;0019 0019;Dijous;2022;9;Setembre;15;17;Tarda;No hi ha causa mediata;434607,77;4584971,28
2022S005648    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim                                              ;0073B0073B;Dimarts;2022;9;Setembre;20;12;Matí;No hi ha causa mediata;434361,1;4585318,83
2022S004311    ;10;Sant Martí;70;el Besòs i el Maresme;144601;Diagonal                                          ;0008 0008;Divendres;2022;7;Juliol;15;6;Matí;No hi ha causa mediata;434705,35;4584915,8
2022S002698    ;10;Sant Martí;70;el Besòs i el Maresme;94300;Puigcerdà / Cristóbal de Moura                    ;0181 0185;Divendres;2022;5;Maig;6;15;Tarda;No hi ha causa mediata;434136,56;4585258,54
2022S004974    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim / Pere IV                                    ;0113 0113;Dijous;2022;8;Agost;18;11;Matí;No hi ha causa mediata;434063,8;4585718,2
2022S000372    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim                                              ;0158 0158;Dissabte;2022;1;Gener;22;21;Tarda;Alcoholèmia;434026,12;4585831,67
2022S004484    ;10;Sant Martí;68;el Poblenou;110009;Joncar                                            ;0229X0229X;Divendres;2022;7;Juliol;22;8;Matí;No hi ha causa mediata;433600,37;4583823,62
2022S004235    ;10;Sant Martí;68;el Poblenou;148704;Ciutat de Granada / Ramon Turró                   ;0028 0028;Dilluns;2022;7;Juliol;11;20;Tarda;No hi ha causa mediata;433173;4583375,73
2022S000472    ;10;Sant Martí;71;Provençals del Poblenou;195409;Maresme                                           ;0180 0180;Dijous;2022;1;Gener;27;8;Matí;No hi ha causa mediata;433899,06;4585678,09
2022S000753    ;10;Sant Martí;68;el Poblenou;168009;Joaquim Pujol / Llull                             ;0003 0003;Dimarts;2022;2;Febrer;8;8;Matí;No hi ha causa mediata;433613,43;4583993,74
2022S001932    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;144601;Selva de Mar / Diagonal                           ;0059 0059;Diumenge;2022;4;Abril;3;3;Nit;No hi ha causa mediata;433985,17;4584651,81
2022S000783    ;10;Sant Martí;68;el Poblenou;115603;Ramon Turró / Espronceda                          ;0051 0051;Dimecres;2022;2;Febrer;9;17;Tarda;Excés de velocitat o inadequada;433841,5;4584030,81
2022S005057    ;10;Sant Martí;68;el Poblenou;270901;Lope de Vega / Pujades                            ;0235 0235;Dimarts;2022;8;Agost;23;17;Tarda;No hi ha causa mediata;433555,49;4584133,75
2022S007523    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;30409;Garcia Fària / Bac de Roda                        ;0001X0001X;Dijous;2022;12;Desembre;8;16;Tarda;Factors meteorològics;434185,03;4583867,82
2022S000818    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;270901;Pujades / Joan d'Àustria                          ;0027 0027;Divendres;2022;2;Febrer;11;8;Matí;No hi ha causa mediata;432405,38;4583010,31
2022S001013    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;50803;Buenaventura Muñoz                                ;0045 0045;Diumenge;2022;2;Febrer;20;5;Nit;No hi ha causa mediata;432083,97;4582910,24
2022S003698    ;10;Sant Martí;68;el Poblenou;330107;Tànger / Llacuna                                  ;0137 0137;Dijous;2022;6;Juny;16;14;Tarda;No hi ha causa mediata;432803,58;4584135,15
2022S005928    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;197302;Marina                                            ;0069 0069;Dilluns;2022;10;Octubre;3;17;Tarda;No hi ha causa mediata;432355,36;4582830,17
2022S006832    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;197302;Marina / Pallars                                  ;0100 0100;Dimecres;2022;11;Novembre;9;14;Tarda;No hi ha causa mediata;432207,28;4583013,7
2022S007767    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;11200;Almogàvers                                        ;0089 0091;Dilluns;2022;12;Desembre;19;16;Tarda;No hi ha causa mediata;432252,78;4583217,86
2022S004231    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;369204;Zamora                                            ;0091 0095;Dilluns;2022;7;Juliol;11;16;Tarda;No hi ha causa mediata;432356,56;4583229,91
2022S003407    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;700654;Litoral                                           ;0098 0098;Divendres;2022;6;Juny;3;15;Tarda;No hi ha causa mediata;434725,55;4584182,45
2022S004992    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;286504;Roger de Flor / Almogàvers                        ;0032 0032;Divendres;2022;8;Agost;19;12;Matí;No hi ha causa mediata;431736,83;4582736,66
2022S005870    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;701266;Litoral (Llobregat)                               ;650000;Divendres;2022;9;Setembre;30;12;Matí;No hi ha causa mediata;434371,96;4583978,79
2022S007924    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;701266;B-10 (Llobregat)                                  ;600000;Dimarts;2022;12;Desembre;27;14;Tarda;No hi ha causa mediata;434731,89;4584332,53
2022S002377    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;700654;Litoral                                           ;0081 0089;Diumenge;2022;4;Abril;24;13;Matí;No hi ha causa mediata;434417,83;4583948,44
2022S003533    ;1;Ciutat Vella;1;el Raval;701266;Drassanes                                         ;1110000;Dijous;2022;6;Juny;9;22;Nit;No hi ha causa mediata;431213,91;4580892,22
2022S001681    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;146902;Glòries Catalanes                                 ;0038X0038X;Dijous;2022;3;Març;24;9;Matí;No hi ha causa mediata;432216,46;4583977,06
2022S004664    ;1;Ciutat Vella;1;el Raval;198804;Paral·lel                                         ;0052 0052;Dissabte;2022;7;Juliol;30;15;Tarda;No hi ha causa mediata;430843,62;4580926,53
2022S006224    ;1;Ciutat Vella;1;el Raval;701367;Raval                                             ;0041 0041;Diumenge;2022;10;Octubre;16;15;Tarda;No hi ha causa mediata;430703,36;4581301,65
2022S005081    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;367504;Doctor Trueta / Àlaba                             ;0100 0100;Dimecres;2022;8;Agost;24;22;Nit;No hi ha causa mediata;432985,66;4583007,18
2022S004030    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;700654;Litoral                                           ;0042 0056;Dissabte;2022;7;Juliol;2;15;Tarda;No hi ha causa mediata;433340,44;4582687,96
2022S002389    ;1;Ciutat Vella;1;el Raval;308505;Sant Oleguer                                      ;0081 0081;Diumenge;2022;4;Abril;24;23;Nit;No hi ha causa mediata;430767,99;4581214,43
2022S000657    ;1;Ciutat Vella;1;el Raval;269108;Josep Carner                                      ;0001 0001;Dijous;2022;2;Febrer;3;23;Nit;No hi ha causa mediata;431246,31;4580919,22
2022S002722    ;1;Ciutat Vella;1;el Raval;269108;Josep Carner / Portal de la Pau                   ;0001 0001;Dissabte;2022;5;Maig;7;17;Tarda;No hi ha causa mediata;431303,96;4580950,67
2022S003286    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;701265;Litoral (Besòs)                                   ;840000;Dilluns;2022;5;Maig;30;14;Tarda;No hi ha causa mediata;433054,62;4582474,25
2022S006611    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;701266;B-10 (Llobregat)                                  ;800000;Dimecres;2022;11;Novembre;2;10;Matí;No hi ha causa mediata;433406,97;4582829,32
2022S005932    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;701266;B-10 (Llobregat)                                  ;820000;Dilluns;2022;10;Octubre;3;17;Tarda;No hi ha causa mediata;433257,43;4582696,33
2022S007554    ;1;Ciutat Vella;1;el Raval;127409;Flors                                             ;0024 0026;Dissabte;2022;12;Desembre;10;11;Matí;No hi ha causa mediata;430443,41;4581030,55
2022S003380    ;10;Sant Martí;67;la Vila Olímpica del Poblenou;700662;Salvador Espriu                                   ;0047 0057;Divendres;2022;6;Juny;3;9;Matí;No hi ha causa mediata;433090,3;4582601,76
2022S005962    ;1;Ciutat Vella;2;el Barri Gòtic;82901;Colom                                             ;0016 0016;Dimarts;2022;10;Octubre;4;20;Tarda;Alcoholèmia;431517,91;4581349,61
2022S006219    ;1;Ciutat Vella;2;el Barri Gòtic;34308;Rambla                                            ;0132 0132;Diumenge;2022;10;Octubre;16;4;Nit;No hi ha causa mediata;430780,67;4581980,58
2022S004666    ;1;Ciutat Vella;2;el Barri Gòtic;64706;Cardenal Casañas                                  ;0016 0016;Dissabte;2022;7;Juliol;30;16;Tarda;No hi ha causa mediata;430984,57;4581707,51
2022S003495    ;1;Ciutat Vella;2;el Barri Gòtic;82901;Colom                                             ;0019 0019;Dimecres;2022;6;Juny;8;17;Tarda;No hi ha causa mediata;431490,89;4581299,46
2022S000723    ;1;Ciutat Vella;2;el Barri Gòtic;82901;Colom / Antonio López                             ;0001 0001;Diumenge;2022;2;Febrer;6;16;Tarda;No hi ha causa mediata;431694,26;4581581,69
2022S001288    ;1;Ciutat Vella;1;el Raval;256605;Pintor Fortuny                                    ;0024 0024;Dijous;2022;3;Març;3;17;Tarda;No hi ha causa mediata;430644,64;4581769,87
2022S006057    ;1;Ciutat Vella;2;el Barri Gòtic;269108;Colom                                             ;0005 0005;Dissabte;2022;10;Octubre;8;5;Nit;Alcoholèmia;431379,84;4581118,42
2022S001818    ;1;Ciutat Vella;1;el Raval;216906;Montalegre                                        ;0004X0004X;Dimecres;2022;3;Març;30;13;Matí;No hi ha causa mediata;430483,62;4581862,88
2022S007452    ;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;700813;Pau Vila                                          ;0001X0001X;Diumenge;2022;12;Desembre;4;1;Nit;No hi ha causa mediata;431977,61;4581755,1
2022S000557    ;1;Ciutat Vella;2;el Barri Gòtic;130403;Fontanella                                        ;0006 0006;Dilluns;2022;1;Gener;31;13;Matí;No hi ha causa mediata;430890,49;4582374,1
