Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2017S004939    ;-1;Desconegut;-1;Desconegut;-1;Motors                                            ;43-51     ;Dimarts;2017;6;Juny;6;8;Matí;Desobeir altres senyals;427585.89 ;4577869.16;219.176.671.948.453;414.116.055.474.339
2017S007937    ;-1;Desconegut;-1;Desconegut;-1;Joan XXIII / Martí i Franquès                     ;;Dimarts;2017;9;Setembre;26;9;Matí;Gir indegut o sense precaució;426505.49 ;4581655.96;219.923.911.839.307;414.196.353.407.890
2017S004739    ;-1;Desconegut;-1;Desconegut;-1;Corts Catalanes                                   ;900;Dilluns;2017;5;Maig;29;22;Nit;Manca d'atenció a la conducció;432587.59 ;4584475.05;218.687.450.620.338;414.121.980.134.471
2017S008779    ;-1;Desconegut;-1;Desconegut;-1;Número 6 Zona Franca / A Zona Franca              ;;Dilluns;2017;10;Octubre;23;22;Nit;Desobeir altres senyals;427519.99 ;4575229.36;219.095.468.968.184;414.067.690.351.256
2017S004350    ;-1;Desconegut;-1;Desconegut;-1;Aguilar                                           ;07-sep;Dimarts;2017;5;Maig;16;14;Tarda;Altres;430758.19 ;4586316.94;218.655.705.437.924;414.090.040.571.961
2017S004109    ;-1;Desconegut;-1;Desconegut;-1;Zona Franca                                       ;3;Diumenge;2017;5;Maig;7;21;Tarda;No determinada;428629.73 ;4578230.12;218.451.968.042.250;414.069.122.437.300
2017S004184    ;-1;Desconegut;-1;Desconegut;-1;Aribau                                            ;197-199   ;Dijous;2017;5;Maig;11;9;Matí;Canvi de carril sense precaució;429014.84 ;4583215.45;218.586.348.819.172;414.026.168.030.554
2017S006855    ;-1;Desconegut;-1;Desconegut;-1;Corts Catalanes                                   ;140;Dimecres;2017;8;Agost;9;5;Nit;No determinada;427871.64 ;4579858.44;218.868.165.090.266;414.037.652.499.740
2017S003196    ;-1;Desconegut;-1;Desconegut;-1;Sentís                                            ;25;Dijous;2017;4;Abril;6;15;Tarda;Manca d'atenció a la conducció;433922.08 ;4587917.81;218.834.036.439.364;414.113.506.662.103
2017S005627    ;-1;Desconegut;-1;Desconegut;-1;Mare de Déu de Port                               ;54;Dimecres;2017;6;Juny;28;12;Matí;Altres;429399.61 ;4578430.43;218.717.246.718.850;414.074.324.537.628
2017S003570    ;-1;Desconegut;-1;Desconegut;-1;Francesc Ferrer i Guàrdia                         ;0009-0011 ;Divendres;2017;4;Abril;21;15;Tarda;Altres;428951.34 ;4580345.2 ;219.788.985.001.602;414.124.875.161.045
2017S010628    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0293 0293;Diumenge;2017;12;Desembre;24;0;Nit;Gir indegut o sense precaució;432141.03 ;4585382.64;219.095.583.054.977;414.093.110.477.934
2017S003663    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0323 0325;Dilluns;2017;4;Abril;24;21;Tarda;Desobeir semàfor;432024.02 ;4585501.49;219.633.931.759.060;414.135.143.634.929
2017S010680    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria;0303 0303;Dimarts;2017;12;Desembre;26;20;Tarda;No determinada;431863.93 ;4585505.67;218.788.717.248.325;414.145.382.811.135
2017S003193    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0052 0054;Dijous;2017;4;Abril;6;14;Tarda;Desconegut;431629.04 ;4585416.36;219.526.684.663.895;414.166.872.329.273
2017S008857    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0248 0250;Dijous;2017;10;Octubre;26;9;Matí;Desobeir semàfor;431181.73 ;4585030.22;219.183.199.349.359;414.093.885.419.397
2017S007334    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0343 0343;Divendres;2017;9;Setembre;1;22;Nit;Altres;431954.6  ;4585556.54;219.354.220.381.239;414.136.962.077.680
2017S000269    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0304X0304X;Dimecres;2017;1;Gener;11;21;Tarda;Gir indegut o sense precaució;431369.31 ;4584838.67;220.263.257.423.505;414.188.030.978.843
2017S001202    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0031 0033;Dilluns;2017;2;Febrer;13;19;Tarda;Gir indegut o sense precaució;431460.81 ;4585127.29;221.833.238.318.428;414.069.108.214.777
2017S009341    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega;0634 0634;Dissabte;2017;11;Novembre;11;8;Matí;Avançament defectuós/improcedent;431369.31 ;4584838.67;221.965.720.055.703;414.073.386.588.815
2017S004180    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega;0653 0653;Dijous;2017;5;Maig;11;9;Matí;No respectar distàncies;431369.31 ;4584838.67;220.490.934.525.526;414.222.042.177.712
2017S001826    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;289105;Rosselló;0541 0543;Dilluns;2017;3;Març;6;4;Nit;Desobeir semàfor;431461.64 ;4584743.79;220.632.646.527.512;414.232.764.296.407
2017S009138    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;289105;Rosselló;0517 0517;Diumenge;2017;11;Novembre;5;1;Nit;Desobeir semàfor;431461.64 ;4584743.79;220.490.934.525.526;414.222.042.177.712
2017S006584    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;18505;Aragó;0533 0533;Divendres;2017;7;Juliol;28;17;Tarda;Manca d'atenció a la conducció;431877.03 ;4584413.1 ;213.328.896.026.268;413.472.188.464.900
2017S001133    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;18505;Aragó;0533 0533;Divendres;2017;2;Febrer;10;15;Tarda;Gir indegut o sense precaució;431660.6  ;4584737.39;211.991.681.526.400;413.812.271.565.483
2017S010066    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0535 0535;Dissabte;2017;12;Desembre;2;9;Matí;No respectar distàncies;431792.02 ;4584704.91;219.233.444.791.618;414.071.510.042.300
2017S009573    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0303 0303;Divendres;2017;11;Novembre;17;21;Tarda;Altres;431748.64 ;4584647.26;213.281.660.051.173;413.234.370.600.014
2017S008277    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0518 0518;Dissabte;2017;10;Octubre;7;6;Matí;Desobeir semàfor;431651.12 ;4584550.2 ;217.023.815.734.252;414.235.846.238.266
2017S002462    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;368507;Xifré;0001 0007;Dimarts;2017;3;Març;28;8;Matí;Desobeir altres senyals;431837.23 ;4584359.62;214.572.246.620.060;413.505.631.447.469
2017S006269    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;368507;Xifré;0030 0030;Dimarts;2017;7;Juliol;18;10;Matí;Manca d'atenció a la conducció;431814.66 ;4584712.35;214.974.129.999.050;413.954.984.278.639
2017S000810    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0609 0609;Dilluns;2017;1;Gener;30;20;Tarda;Manca d'atenció a la conducció;431922.33 ;4584802.57;213.646.756.069.008;413.651.612.829.746
2017S009871    ;10;Sant Martí;65;el Clot;146902;Glòries Catalanes;0019 0021;Dilluns;2017;11;Novembre;27;14;Tarda;Altres;432042;4583976.74;220.792.263.539.846;414.382.698.981.075
2017S008042    ;10;Sant Martí;72;Sant Martí de Provençals;169409;Corts Catalanes;1033 1033;Divendres;2017;9;Setembre;29;15;Tarda;No respectar distàncies;433366.47 ;4585249.15;215.490.125.179.939;413.524.351.903.642
2017S004053    ;10;Sant Martí;72;Sant Martí de Provençals;153205;Guipúscoa;0036B0036B;Dilluns;2017;5;Maig;8;7;Matí;Altres;432876.41 ;4585348.43;214.931.862.161.514;413.696.414.701.959
2017S010616    ;10;Sant Martí;65;el Clot;18505;Aragó;0560 0560;Dissabte;2017;12;Desembre;23;11;Matí;No respectar distàncies;431940.62 ;4584488.01;218.689.031.416.923;414.152.877.819.504
2017S006033    ;10;Sant Martí;65;el Clot;161101;Independència;0265B0265B;Dimarts;2017;7;Juliol;11;18;Tarda;No respectar distàncies;431934.16 ;4584454.66;218.547.696.752.069;414.163.483.282.530
2017S006742    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0833;Dijous;2017;8;Agost;3;21;Tarda;Desobeir semàfor;432229.7  ;4584197.87;218.356.105.116.123;414.163.724.057.942
2017S006641    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0833;Dilluns;2017;7;Juliol;31;10;Matí;Canvi de carril sense precaució;432255.32 ;4584222.72;218.076.074.293.953;414.155.480.511.340
2017S009107    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0833;Dissabte;2017;11;Novembre;4;8;Matí;Desobeir semàfor;432042;4583976.74;217.545.280.600.587;414.120.320.018.594
2017S004598    ;10;Sant Martí;72;Sant Martí de Provençals;169409;Corts Catalanes;0967E0967E;Dimecres;2017;5;Maig;24;19;Tarda;Altres;433057.41 ;4585063.19;218.464.017.265.558;414.168.382.654.042
2017S009419    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;0316 0316;Dilluns;2017;11;Novembre;13;15;Tarda;Manca d'atenció a la conducció;433023.54 ;4586098.38;217.771.875.731.547;414.103.228.277.772
2017S001809    ;10;Sant Martí;65;el Clot;81603;Clot;0033 0033;Diumenge;2017;3;Març;5;1;Nit;Manca d'atenció a la conducció;432185.87 ;4584728.44;217.878.071.038.030;414.129.301.491.833
2017S000137    ;10;Sant Martí;72;Sant Martí de Provençals;15201;Andrade;0110 0110;Divendres;2017;1;Gener;6;22;Nit;Desobeir semàfor;432261.78 ;4584802.09;217.771.875.731.547;414.103.228.277.772
2017S003896    ;10;Sant Martí;72;Sant Martí de Provençals;268604;Pont del Treball Digne;0015X0015X;Dimarts;2017;5;Maig;2;18;Tarda;Canvi de carril sense precaució;432945.98 ;4586161.87;217.771.875.731.547;414.103.228.277.772
2017S008875    ;10;Sant Martí;65;el Clot;42306;Bilbao;0241 0243;Dijous;2017;10;Octubre;26;19;Tarda;Avançament defectuós/improcedent;432544.75 ;4584970.03;217.883.412.021.401;414.094.761.597.731
2017S008974    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;0284 0288;Dilluns;2017;10;Octubre;30;14;Tarda;Altres;433177.51 ;4585855.69;217.883.412.021.401;414.094.761.597.731
2017S010728    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0151B0151B;Dijous;2017;12;Desembre;28;17;Tarda;Desobeir altres senyals;432136.49 ;4585039.63;218.384.091.252.642;414.065.330.816.326
2017S008897    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0859 0859;Divendres;2017;10;Octubre;27;12;Matí;No respectar distàncies;432471.87 ;4584433.72;218.121.510.760.707;414.094.354.729.915
2017S008151    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0121 0121;Dimarts;2017;10;Octubre;3;16;Tarda;Manca d'atenció a la conducció;432106.63 ;4584685.29;218.279.101.882.125;414.091.541.087.677
2017S001864    ;10;Sant Martí;65;el Clot;191204;Mallorca;0621 0621;Dimarts;2017;3;Març;7;11;Matí;Gir indegut o sense precaució;431934.16 ;4584454.66;218.227.855.121.037;414.086.311.875.892
2017S001808    ;10;Sant Martí;65;el Clot;191204;Mallorca;0623 0623;Diumenge;2017;3;Març;5;2;Nit;Desobeir semàfor;432042;4583976.73;218.112.285.478.852;414.077.487.047.724
2017S002139    ;10;Sant Martí;65;el Clot;191204;Mallorca;0623 0623;Divendres;2017;3;Març;17;1;Nit;Desobeir semàfor;432278.76 ;4584102.02;218.337.081.380.528;414.060.480.267.621
2017S010563    ;10;Sant Martí;65;el Clot;350308;València;0640 0644;Dijous;2017;12;Desembre;21;15;Tarda;Manca d'atenció a la conducció;432258.12 ;4584944.41;218.306.103.288.166;414.092.230.411.396
2017S000655    ;10;Sant Martí;65;el Clot;191204;Mallorca;0634 0634;Dimecres;2017;1;Gener;25;10;Matí;Desobeir semàfor;432156.43 ;4584510.33;218.433.898.301.282;414.100.447.595.168
2017S001670    ;10;Sant Martí;65;el Clot;209900;Meridiana;0200B0200B;Dimecres;2017;3;Març;1;8;Matí;No determinada;433057.41 ;4585063.19;218.586.348.706.804;414.026.168.931.224
2017S006956    ;10;Sant Martí;65;el Clot;223209;Municipi;0020 0020;Diumenge;2017;8;Agost;13;10;Matí;Manca precaució incorporació circulació;432474.6  ;4584715.93;220.156.698.748.675;414.141.881.134.294
2017S002343    ;10;Sant Martí;65;el Clot;209004;Mercat;0011 0011;Dijous;2017;3;Març;23;20;Tarda;Manca d'atenció a la conducció;432928.88 ;4585178.39;219.569.266.613.610;414.150.414.795.738
2017S003378    ;10;Sant Martí;65;el Clot;226400;Las Navas de Tolosa;0289 0289;Dijous;2017;4;Abril;13;19;Tarda;Desobeir semàfor;432223.56 ;4585298.65;218.459.320.796.995;414.072.131.644.941
2017S001161    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0139 0139;Dissabte;2017;2;Febrer;11;12;Matí;Desobeir altres senyals;432842.52 ;4585531.47;218.451.968.042.250;414.069.122.437.300
2017S007340    ;10;Sant Martí;65;el Clot;305507;Sant Joan de Malta;0016 0018;Dissabte;2017;9;Setembre;2;10;Matí;Manca d'atenció a la conducció;432547.91 ;4584723.85;218.808.402.878.152;414.046.244.050.028
2017S000726    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;286300;Rogent;0020 0020;Divendres;2017;1;Gener;27;17;Tarda;Gir indegut o sense precaució;432695.3  ;4585200.75;218.838.772.833.096;414.048.503.830.201
2017S001170    ;10;Sant Martí;70;el Besòs i el Maresme;188108;Mestre Alfonso;0033 0033;Dissabte;2017;2;Febrer;11;22;Nit;No cedir la dreta;433460.24 ;4585760.68;218.586.348.706.804;414.026.168.931.224
2017S010065    ;10;Sant Martí;70;el Besòs i el Maresme;701266;Litoral (Llobregat);590000;Dissabte;2017;12;Desembre;2;6;Matí;Desobeir semàfor;434760.33 ;4584428.46;219.788.985.001.602;414.124.875.161.045
2017S008605    ;10;Sant Martí;70;el Besòs i el Maresme;701266;Litoral (Llobregat);590000;Dimecres;2017;10;Octubre;18;20;Tarda;No respectar distàncies;434871.49 ;4584474.96;219.736.989.708.159;414.218.083.459.445
2017S010570    ;10;Sant Martí;73;la Verneda i la Pau;266405;Prim;0196 0196;Dijous;2017;12;Desembre;21;18;Tarda;No respectat pas de vianants;433653.97 ;4586136.52;218.750.019.919.623;414.093.993.915.327
2017S006703    ;10;Sant Martí;73;la Verneda i la Pau;153205;Guipúscoa;0162X0162X;Dimecres;2017;8;Agost;2;17;Tarda;Desobeir altres senyals;433773.48 ;4586254.47;218.840.009.929.845;414.100.691.416.638
2017S006806    ;10;Sant Martí;73;la Verneda i la Pau;266405;Prim;0192 0194;Diumenge;2017;8;Agost;6;23;Nit;Desobeir semàfor;433653.97 ;4586136.52;219.643.478.009.584;414.223.737.058.914
2017S005612    ;10;Sant Martí;73;la Verneda i la Pau;266405;Prim;0192 0194;Dimarts;2017;6;Juny;27;21;Tarda;Manca d'atenció a la conducció;433697.47 ;4586135.96;220.542.992.504.908;414.222.027.683.791
2017S000612    ;10;Sant Martí;70;el Besòs i el Maresme;241700;Palerm;0007 0007;Dilluns;2017;1;Gener;23;18;Tarda;Gir indegut o sense precaució;433157.99 ;4586274.18;219.895.925.533.539;414.234.029.315.724
2017S001028    ;10;Sant Martí;70;el Besòs i el Maresme;74608;Catània;0004 0004;Dimarts;2017;2;Febrer;7;14;Tarda;Avançament defectuós/improcedent;433448.26 ;4585425;220.252.619.709.501;414.157.787.293.042
2017S004955    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;0251 0251;Dimarts;2017;6;Juny;6;16;Tarda;Desobeir semàfor;433270.56 ;4585763.3 ;220.036.270.641.792;414.188.109.509.816
2017S006800    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;0260 0260;Diumenge;2017;8;Agost;6;5;Nit;Manca d'atenció a la conducció;433270.56 ;4585763.3 ;220.036.270.641.792;414.188.109.509.816
2017S010657    ;10;Sant Martí;73;la Verneda i la Pau;266405;Prim;0135 0137;Dilluns;2017;12;Desembre;25;23;Nit;Desobeir semàfor;433840.49 ;4585944.54;220.716.225.472.574;414.204.905.024.954
2017S001257    ;10;Sant Martí;73;la Verneda i la Pau;343200;Trajana;0040 0040;Dimecres;2017;2;Febrer;15;1;Nit;Desobeir semàfor;433653.97 ;4586136.52;220.490.934.525.526;414.222.042.177.712
2017S008208    ;10;Sant Martí;73;la Verneda i la Pau;208205;Menorca;0033 0033;Dijous;2017;10;Octubre;5;6;Matí;Altres;433180.78 ;4586046.78;219.925.711.344.479;414.213.567.046.332
2017S007634    ;10;Sant Martí;73;la Verneda i la Pau;357500;Verneda;0025 0025;Divendres;2017;9;Setembre;15;9;Matí;Canvi de carril sense precaució;433918.15 ;4586397.03;220.804.201.297.295;414.245.723.515.574
2017S003328    ;10;Sant Martí;72;Sant Martí de Provençals;342503;Treball;0197 0197;Dimecres;2017;4;Abril;12;9;Matí;Manca d'atenció a la conducció;433363.23 ;4585479.22;220.150.285.617.028;414.162.600.206.616
2017S006670    ;10;Sant Martí;71;Provençals del Poblenou;322608;Selva de Mar;0091U0091U;Dimarts;2017;8;Agost;1;20;Tarda;Gir indegut o sense precaució;433757.51 ;4584880.79;220.628.594.069.318;414.109.027.502.124
2017S006089    ;10;Sant Martí;73;la Verneda i la Pau;153205;Guipúscoa;0103 0105;Dijous;2017;7;Juliol;13;9;Matí;Canvi de carril sense precaució;433366.06 ;4585856.75;220.149.508.792.770;414.196.605.610.278
2017S003161    ;10;Sant Martí;71;Provençals del Poblenou;94300;Cristóbal de Moura;0137 0137;Dimecres;2017;4;Abril;5;19;Tarda;Desobeir semàfor;433946.2  ;4585071.93;220.852.251.735.437;414.126.398.424.853
2017S008854    ;10;Sant Martí;71;Provençals del Poblenou;249304;Pere IV;0400 0404;Dijous;2017;10;Octubre;26;8;Matí;Manca d'atenció a la conducció;433591.48 ;4584940.11;220.429.306.379.633;414.114.233.158.410
2017S008057    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0027X0027X;Divendres;2017;9;Setembre;29;19;Tarda;No determinada;434701.03 ;4585065.69;221.755.413.724.495;414.126.453.820.455
2017S004190    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0090 0090;Dijous;2017;5;Maig;11;15;Tarda;Desobeir semàfor;434328.9  ;4585442.7 ;221.306.093.178.751;414.160.106.657.465
2017S000589    ;10;Sant Martí;70;el Besòs i el Maresme;242906;Pallars;0481 0481;Diumenge;2017;1;Gener;22;9;Matí;Altres;433942.83 ;4585841.27;220.839.810.741.224;414.195.688.059.842
2017S004209    ;10;Sant Martí;70;el Besòs i el Maresme;44403;Bolívia;0341 0341;Divendres;2017;5;Maig;12;0;Nit;Desobeir altres senyals;434044.54 ;4585541.26;220.964.785.986.092;414.168.750.591.311
2017S009116    ;10;Sant Martí;71;Provençals del Poblenou;356202;Veneçuela;0049 0049;Dissabte;2017;11;Novembre;4;17;Tarda;Desobeir altres senyals;433846.46 ;4584792.84;220.735.975.134.894;414.101.179.403.856
2017S000526    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0115 0115;Divendres;2017;1;Gener;20;9;Matí;No respectat pas de vianants;434039.87 ;4585166.59;220.963.287.372.697;414.135.001.209.317
2017S002400    ;10;Sant Martí;68;el Poblenou;124604;Ferrocarril;0017 0017;Divendres;2017;3;Març;24;23;Nit;Desobeir semàfor;433625.38 ;4585017.54;220.469.013.993.109;414.121.235.100.606
2017S001044    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0081X0081X;Dimecres;2017;2;Febrer;8;8;Matí;Altres;433427.03 ;4584453.69;220.237.915.461.849;414.070.286.441.965
2017S001690    ;10;Sant Martí;68;el Poblenou;55501;Calvell;0017 0017;Dimecres;2017;3;Març;1;15;Tarda;Desconegut;433155.6  ;4584900.4 ;219.908.260.978.732;414.110.294.922.504
2017S004333    ;10;Sant Martí;68;el Poblenou;55501;Calvell;0019 0021;Dilluns;2017;5;Maig;15;20;Tarda;Desconegut;433738.98 ;4583370.22;220.622.976.769.457;413.972.958.983.033
2017S005050    ;10;Sant Martí;70;el Besòs i el Maresme;701414;C-31;20840000;Divendres;2017;6;Juny;9;12;Matí;No respectat pas de vianants;433942.83 ;4585841.27;220.839.810.741.224;414.195.688.059.842
2017S007734    ;10;Sant Martí;68;el Poblenou;701265;Litoral (Besòs);760000;Dilluns;2017;9;Setembre;18;22;Nit;No determinada;433705.19 ;4583102.38;220.585.494.404.211;413.948.807.401.183
2017S010654    ;10;Sant Martí;68;el Poblenou;701265;Litoral (Besòs);760000;Dilluns;2017;12;Desembre;25;19;Tarda;No determinada;433630.18 ;4583034.46;220.496.520.578.107;413.942.628.081.187
2017S006353    ;10;Sant Martí;68;el Poblenou;701266;Litoral (Llobregat);730000;Dijous;2017;7;Juliol;20;21;Tarda;Canvi de carril sense precaució;433904.9  ;4583333.52;220.821.840.906.460;413.969.790.178.321
2017S004450    ;10;Sant Martí;68;el Poblenou;701266;Litoral (Llobregat);740000;Divendres;2017;5;Maig;19;20;Tarda;Manca d'atenció a la conducció;433762.35 ;4583188.31;220.652.922.268.448;413.956.594.056.714
2017S001907    ;10;Sant Martí;68;el Poblenou;75702;Carmen Amaya;0008X0010;Dimecres;2017;3;Març;8;20;Tarda;Gir indegut o sense precaució;432933.13 ;4584669.82;219.644.658.874.088;414.089.341.732.966
2017S002346    ;10;Sant Martí;68;el Poblenou;700654;Litoral;0070 0070;Dijous;2017;3;Març;23;20;Tarda;Manca d'atenció a la conducció;433081.87 ;4584996.69;219.818.985.453.742;414.118.906.082.467
2017S008983    ;10;Sant Martí;68;el Poblenou;701266;Litoral (Llobregat);790000;Dilluns;2017;10;Octubre;30;15;Tarda;Desobeir semàfor;433443.3  ;4582903.44;220.274.438.270.791;413.930.672.838.900
2017S004402    ;10;Sant Martí;71;Provençals del Poblenou;253902;Perú;0044X0044X;Dijous;2017;5;Maig;18;10;Matí;No cedir la dreta;432709.25 ;4584421.07;219.379.589.115.974;414.066.750.245.401
2017S001382    ;10;Sant Martí;68;el Poblenou;183603;Llacuna;0051 0051;Diumenge;2017;2;Febrer;19;0;Nit;Desobeir semàfor;433476.69 ;4585173.83;220.289.399.995.987;414.135.188.665.646
2017S001144    ;10;Sant Martí;68;el Poblenou;183603;Llacuna;0075 0081;Divendres;2017;2;Febrer;10;20;Tarda;No respectar distàncies;433509.45 ;4585389.78;220.326.219.509.310;414.154.665.824.390
2017S004129    ;10;Sant Martí;71;Provençals del Poblenou;115603;Espronceda;0201 0201;Dimarts;2017;5;Maig;9;17;Tarda;Desobeir semàfor;433092.71 ;4584796.53;219.834.169.808.027;414.100.887.265.074
2017S003377    ;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20710000;Dijous;2017;4;Abril;13;18;Tarda;Manca d'atenció a la conducció;433081.87 ;4584996.69;219.818.985.453.742;414.118.906.082.467
2017S000073    ;10;Sant Martí;71;Provençals del Poblenou;195409;Maresme;0186 0186;Dimecres;2017;1;Gener;4;11;Matí;No respectar distàncies;432874.51 ;4583632.02;219.586.048.748.516;413.995.820.964.616
2017S001678    ;10;Sant Martí;71;Provençals del Poblenou;44403;Bolívia;0202 0204;Dimecres;2017;3;Març;1;8;Matí;Avançament defectuós/improcedent;433406.97 ;4582829.32;220.231.801.214.324;413.923.966.928.595
2017S006617    ;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20680000;Diumenge;2017;7;Juliol;30;12;Matí;Canvi de carril sense precaució;432742.24 ;4584739.03;219.415.518.188.527;414.095.415.631.540
2017S007904    ;10;Sant Martí;71;Provençals del Poblenou;169409;Corts Catalanes;1004 1004;Diumenge;2017;9;Setembre;24;9;Matí;Desobeir semàfor;433081.87 ;4584996.69;219.818.985.453.742;414.118.906.082.467
2017S005330    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;175004;Jonquera;0001X0003X;Diumenge;2017;6;Juny;18;11;Matí;No cedir la dreta;433795.71 ;4583714.72;220.687.063.082.643;414.004.034.033.327
2017S005770    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;180401;Lope de Vega;0002X0002X;Dilluns;2017;7;Juliol;3;16;Tarda;Desconegut;434027.47 ;4583742.08;220.963.994.786.136;414.006.688.958.904
2017S002545    ;10;Sant Martí;71;Provençals del Poblenou;175503;Klein;0009 0009;Dijous;2017;3;Març;30;13;Matí;Manca d'atenció a la conducció;433406.97 ;4582829.32;220.231.801.214.324;413.923.966.928.595
2017S001101    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;242906;Pallars;0416 0416;Dijous;2017;2;Febrer;9;19;Tarda;No respectat pas de vianants;433555.45 ;4583558.48;220.401.381.891.092;413.989.763.512.973
2017S005879    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;322608;Selva de Mar;0046X0046X;Dimecres;2017;7;Juliol;5;23;Nit;Desobeir semàfor;433985.17 ;4584651.81;220.903.464.026.112;414.088.591.342.720
2017S008468    ;10;Sant Martí;68;el Poblenou;42306;Bilbao;0034 0036;Dissabte;2017;10;Octubre;14;18;Tarda;Manca d'atenció a la conducció;433562.3  ;4583943.06;220.405.351.182.464;414.024.407.332.254
2017S004272    ;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;30409;Bac de Roda;0098X0098X;Dissabte;2017;5;Maig;13;22;Nit;Gir indegut o sense precaució;433559.9  ;4584512.34;220.396.225.337.514;414.075.678.926.274
2017S006230    ;10;Sant Martí;68;el Poblenou;30409;Bac de Roda;0099 0099;Dilluns;2017;7;Juliol;17;14;Tarda;Gir indegut o sense precaució;433607.3  ;4584461.61;220.453.488.201.805;414.071.149.007.998
2017S006175    ;10;Sant Martí;68;el Poblenou;346800;Poblenou;0093 0095;Divendres;2017;7;Juliol;14;19;Tarda;Altres;433179.01 ;4583945.06;219.946.826.110.642;414.024.269.522.109
2017S010532    ;10;Sant Martí;68;el Poblenou;270901;Pujades;0272 0272;Dimecres;2017;12;Desembre;20;13;Matí;Gir indegut o sense precaució;433649.35 ;4584225.94;220.506.379.374.811;414.049.957.570.315
2017S006716    ;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;243206;Pamplona;0076 0076;Dijous;2017;8;Agost;3;8;Matí;No respectat pas de vianants;432565.12 ;4583244.66;219.220.282.233.523;413.960.673.384.834
2017S005275    ;10;Sant Martí;68;el Poblenou;249304;Pere IV;0213 0213;Divendres;2017;6;Juny;16;13;Matí;Gir indegut o sense precaució;433259.93 ;4584329.16;220.039.385.898.112;414.058.931.668.458
