Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2011S006646;10;Sant Mart°;64;el Camp de l'Arpa del Clot;209900;Meridiana;0197 0197;Dimarts;2011;10;Octubre;4;11;Mat°;No hi ha causa mediata;432115,94;4585343,3
2011S003333;10;Sant Mart°;64;el Camp de l'Arpa del Clot;224802;Naci¢;0030 0030;Dimarts;2011;5;Maig;17;13;Mat°;No hi ha causa mediata;431990,72;4585145,1
2011S006833;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0352 0354;Dilluns;2011;10;Octubre;10;19;Tarda;No hi ha causa mediata;431634,78;4585458,06
2011S002662;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0356 0356;Dissabte;2011;4;Abril;16;21;Tarda;No hi ha causa mediata;431646,49;4585470,2
2011S008311;10;Sant Mart°;64;el Camp de l'Arpa del Clot;95506;Conca;0030 0030;Dissabte;2011;12;Desembre;10;16;Tarda;No hi ha causa mediata;431538,01;4585253,1
2011S000334;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0275 0277;Dimarts;2011;1;Gener;18;12;Mat°;No hi ha causa mediata;431614,01;4585302,06
2011S003205;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0227 0233;Dilluns;2011;5;Maig;9;9;Mat°;No hi ha causa mediata;431385,82;4585066,89
2011S005692;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0293 0293;Diumenge;2011;8;Agost;28;17;Tarda;No hi ha causa mediata;431717,4;4585413,39
2011S005577;10;Sant Mart°;64;el Camp de l'Arpa del Clot;90502;Cïrsega;0703 0703;Dissabte;2011;8;Agost;20;22;Nit;No hi ha causa mediata;431609,73;4585097,59
2011S006482;10;Sant Mart°;64;el Camp de l'Arpa del Clot;368507;XifrÇ;0106U0106U;Dimecres;2011;9;Setembre;28;14;Tarda;No hi ha causa mediata;431574,71;4584973,5
2011S008628;10;Sant Mart°;64;el Camp de l'Arpa del Clot;134801;Freser;0076U0076U;Dijous;2011;12;Desembre;22;8;Mat°;No hi ha causa mediata;431602,87;4585001,84
2011S005435;10;Sant Mart°;64;el Camp de l'Arpa del Clot;134801;Freser;0086 0086;Dijous;2011;8;Agost;11;16;Tarda;No hi ha causa mediata;431613,73;4585024,93
2011S008791;10;Sant Mart°;64;el Camp de l'Arpa del Clot;350308;Valäncia;0583 0583;Dijous;2011;12;Desembre;29;4;Nit;No hi ha causa mediata;431934,94;4584656,77
2011S004218;10;Sant Mart°;64;el Camp de l'Arpa del Clot;268003;Provenáa;0570 0570;Dilluns;2011;6;Juny;20;15;Tarda;No hi ha causa mediata;431652,92;4584712,78
2011S006815;10;Sant Mart°;64;el Camp de l'Arpa del Clot;350308;Valäncia;0563 0563;Dilluns;2011;10;Octubre;10;13;Mat°;No hi ha causa mediata;431816,61;4584545,45
2011S001828;10;Sant Mart°;64;el Camp de l'Arpa del Clot;350308;Valäncia;0563 0563;Divendres;2011;3;Mará;18;9;Mat°;No hi ha causa mediata;431816,61;4584545,45
2011S007775;10;Sant Mart°;64;el Camp de l'Arpa del Clot;350308;Valäncia;0556 0556;Dijous;2011;11;Novembre;17;21;Tarda;No hi ha causa mediata;431794,83;4584489,3
2011S006967;10;Sant Mart°;64;el Camp de l'Arpa del Clot;286300;Rogent;0001 0001;Dissabte;2011;10;Octubre;15;20;Tarda;No hi ha causa mediata;432097,42;4584637,51
2011S001625;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0580 0580;Dijous;2011;3;Mará;10;9;Mat°;No hi ha causa mediata;431930,44;4584810,5
2011S006441;10;Sant Mart°;65;el Clot;18505;Arag¢;0580 0580;Dimarts;2011;9;Setembre;27;14;Tarda;No hi ha causa mediata;432060,89;4584555,67
2011S007130;10;Sant Mart°;65;el Clot;81603;Clot;0033 0033;Divendres;2011;10;Octubre;21;17;Tarda;No hi ha causa mediata;432206,17;4584478,92
2011S007033;10;Sant Mart°;65;el Clot;209900;Meridiana;0103 0103;Dimarts;2011;10;Octubre;18;22;Nit;ExcÇs de velocitat o inadequada;432105,14;4584523,37
2011S008096;10;Sant Mart°;65;el Clot;161101;Independäncia;0250 0250;Dijous;2011;12;Desembre;1;6;Mat°;No hi ha causa mediata;431960,1;4584453,64
2011S001588;10;Sant Mart°;65;el Clot;146902;Glïries Catalanes;0019 0019;Dimarts;2011;3;Mará;8;20;Tarda;No hi ha causa mediata;432172,41;4584181,5
2011S002088;10;Sant Mart°;65;el Clot;169409;Corts Catalanes;0823 0823;Divendres;2011;3;Mará;25;15;Tarda;No hi ha causa mediata;432229,7;4584197,87
2011S007723;10;Sant Mart°;72;Sant Mart° de Provenáals;158504;Huelva;0032 0034;Dimarts;2011;11;Novembre;15;22;Nit;No hi ha causa mediata;432727,65;4585404,02
2011S008624;10;Sant Mart°;72;Sant Mart° de Provenáals;30409;Bac de Roda;0201 0201;Dijous;2011;12;Desembre;22;0;Nit;No hi ha causa mediata;432754,98;4585306,82
2011S004068;10;Sant Mart°;72;Sant Mart° de Provenáals;158504;Huelva;0063 0065;Dimarts;2011;6;Juny;14;15;Tarda;No hi ha causa mediata;432917,15;4585620,33
2011S003311;10;Sant Mart°;72;Sant Mart° de Provenáals;115603;Espronceda;0234 0234;Dilluns;2011;5;Maig;16;18;Tarda;No hi ha causa mediata;432863,88;4585044,47
2011S002444;10;Sant Mart°;72;Sant Mart° de Provenáals;3406;Agricultura;0304 0304;Dissabte;2011;4;Abril;9;13;Mat°;No hi ha causa mediata;433110,24;4585942,11
2011S007915;10;Sant Mart°;72;Sant Mart° de Provenáals;104200;Doctor Zamenhof;0013 0013;Dimecres;2011;11;Novembre;23;17;Tarda;No hi ha causa mediata;432844,22;4585514,34
2011S007397;10;Sant Mart°;65;el Clot;209900;Meridiana;0091B0091B;Dijous;2011;11;Novembre;3;9;Mat°;No hi ha causa mediata;432104,13;4584382,45
2011S006920;10;Sant Mart°;65;el Clot;18505;Arag¢;0560 0560;Divendres;2011;10;Octubre;14;9;Mat°;No hi ha causa mediata;431964,93;4584467,51
2011S008119;10;Sant Mart°;65;el Clot;115603;Espronceda;0287 0291;Dijous;2011;12;Desembre;1;13;Mat°;No hi ha causa mediata;432663,12;4585214,2
2011S002634;10;Sant Mart°;65;el Clot;153205;Guip£scoa;0005 0007;Divendres;2011;4;Abril;15;22;Nit;No hi ha causa mediata;432621,66;4585157,8
2011S001012;10;Sant Mart°;65;el Clot;42306;Bilbao;0214U0214U;Dilluns;2011;2;Febrer;14;12;Mat°;No hi ha causa mediata;432563,85;4584966,61
2011S001252;10;Sant Mart°;65;el Clot;153205;Guip£scoa;0016 0016;Dimarts;2011;2;Febrer;22;21;Tarda;No hi ha causa mediata;432690,49;4585166,49
2011S008432;10;Sant Mart°;65;el Clot;350308;Valäncia;0676 0678;Dijous;2011;12;Desembre;15;18;Tarda;No hi ha causa mediata;432380,82;4585062,88
2011S006945;10;Sant Mart°;65;el Clot;180401;Lope de Vega;0290 0298;Divendres;2011;10;Octubre;14;18;Tarda;No hi ha causa mediata;432653,4;4585067,53
2011S007655;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0599 0599;Diumenge;2011;11;Novembre;13;13;Mat°;No hi ha causa mediata;432064,5;4584972,8
2011S001526;10;Sant Mart°;64;el Camp de l'Arpa del Clot;209900;Meridiana;0139 0139;Dissabte;2011;3;Mará;5;2;Nit;No hi ha causa mediata;432108,08;4584830,37
2011S001007;10;Sant Mart°;64;el Camp de l'Arpa del Clot;286300;Rogent;0002 0002;Dilluns;2011;2;Febrer;14;7;Mat°;No hi ha causa mediata;432099,6;4584650,8
2011S006318;10;Sant Mart°;70;el Besïs i el Maresme;8705;Alfons el MagnÖnim;0008 0008;Dijous;2011;9;Setembre;22;20;Tarda;No hi ha causa mediata;434685,66;4585282,29
2011S005340;10;Sant Mart°;70;el Besïs i el Maresme;266405;Prim;0022 0022;Dissabte;2011;8;Agost;6;12;Mat°;No hi ha causa mediata;434623,12;4585187,55
2011S003275;10;Sant Mart°;73;la Verneda i la Pau;266405;Prim;0198 0198;Diumenge;2011;5;Maig;15;4;Nit;Alcoholämia;433651,4;4586184,13
2011S002982;10;Sant Mart°;73;la Verneda i la Pau;266405;Prim;0166 0166;Dimarts;2011;5;Maig;3;19;Tarda;No hi ha causa mediata;433845,7;4585983,99
2011S007826;10;Sant Mart°;73;la Verneda i la Pau;15201;Andrade;0220 0220;Dissabte;2011;11;Novembre;19;15;Tarda;No hi ha causa mediata;433644,95;4585737,92
2011S001609;10;Sant Mart°;73;la Verneda i la Pau;15201;Andrade;0222 0222;Dimecres;2011;3;Mará;9;14;Tarda;No hi ha causa mediata;433668,38;4585761,24
2011S007378;10;Sant Mart°;73;la Verneda i la Pau;142901;Gelida;0002 0002;Dimecres;2011;11;Novembre;2;12;Mat°;No hi ha causa mediata;433696,83;4585782,86
2011S001260;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0096B0096B;Dimecres;2011;2;Febrer;23;8;Mat°;No hi ha causa mediata;433303,26;4585765,46
2011S001100;10;Sant Mart°;73;la Verneda i la Pau;266405;Prim;0135 0137;Dijous;2011;2;Febrer;17;14;Tarda;No hi ha causa mediata;433807;4585935,39
2011S002959;10;Sant Mart°;73;la Verneda i la Pau;318906;Santander;0034X0034X;Dilluns;2011;5;Maig;2;18;Tarda;No hi ha causa mediata;433345,31;4586590,87
2011S005230;10;Sant Mart°;73;la Verneda i la Pau;60807;CantÖbria;0080 0080;Dilluns;2011;8;Agost;1;20;Tarda;No hi ha causa mediata;433245,27;4586412,15
2011S007555;10;Sant Mart°;73;la Verneda i la Pau;60807;CantÖbria;0026 0026;Dijous;2011;11;Novembre;10;12;Mat°;No hi ha causa mediata;433400;4585845,09
2011S006206;10;Sant Mart°;73;la Verneda i la Pau;86200;Concili de Trento;0213X0213X;Dilluns;2011;9;Setembre;19;11;Mat°;No hi ha causa mediata;433466,75;4585781,85
2011S003140;10;Sant Mart°;73;la Verneda i la Pau;266405;Prim;0225 0225;Dimarts;2011;5;Maig;10;9;Mat°;No hi ha causa mediata;433216,08;4586540,36
2011S008495;10;Sant Mart°;73;la Verneda i la Pau;343200;Trajana;0049U0049U;Dissabte;2011;12;Desembre;17;13;Mat°;No hi ha causa mediata;433275,83;4586836,1
2011S007441;10;Sant Mart°;73;la Verneda i la Pau;60807;CantÖbria;0052 0052;Divendres;2011;10;Octubre;28;20;Tarda;No hi ha causa mediata;433150,72;4586125,85
2011S005866;10;Sant Mart°;73;la Verneda i la Pau;270107;PuigcerdÖ;0252 0268;Dimarts;2011;9;Setembre;6;9;Mat°;Caláada en mal estat;433453,05;4585982,03
2011S003246;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0106 0106;Divendres;2011;5;Maig;13;15;Tarda;No hi ha causa mediata;433367,4;4585827,78
2011S006487;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0067 0067;Dimecres;2011;9;Setembre;28;16;Tarda;No hi ha causa mediata;433116,81;4585641,92
2011S008338;10;Sant Mart°;71;Provenáals del Poblenou;356202;Veneáuela;0067 0067;Dilluns;2011;12;Desembre;12;11;Mat°;No hi ha causa mediata;433909,26;4584864,05
