Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2022S000895    ;8;Nou Barris;48;la Guineueta;75101;Favència / Caçador                                ;0004X0004X;Dilluns;2022;2;Febrer;14;21;Tarda;No és causa del  vianant;0;1;0;1;2;430471,16;4588315,38;216.657.343.958.746;414.415.589.917.136
2022S003449    ;8;Nou Barris;48;la Guineueta;75101;Favència / Caçador                                ;0004X0004X;Dilluns;2022;6;Juny;6;21;Tarda;No és causa del  vianant;0;1;0;1;2;430471,16;4588315,38;216.657.343.958.746;414.415.589.917.136
2022S006255    ;8;Nou Barris;50;les Roquetes;120807;Almansa / Favència                                ;0230A0230A;Dilluns;2022;10;Octubre;17;23;Nit;No és causa del  vianant;0;1;0;1;2;431105,45;4588628,46;217.412.976.987.946;414.444.335.102.918
2022S000294    ;8;Nou Barris;52;la Prosperitat;701267;Favència / Júlia                                  ;2;Dimarts;2022;1;Gener;18;18;Tarda;No és causa del  vianant;0;1;0;1;1;431563,44;4588806,2;217.959.172.726.338;414.460.735.560.966
2022S001331    ;8;Nou Barris;52;la Prosperitat;701267;Favència / Júlia                                  ;2;Dissabte;2022;3;Març;5;18;Tarda;No és causa del  vianant;0;1;0;1;2;431563,44;4588806,2;217.959.172.726.338;414.460.735.560.966
2022S005147    ;8;Nou Barris;53;la Trinitat Nova;120807;Favència                                          ;0311 0319;Dissabte;2022;8;Agost;27;23;Nit;No és causa del  vianant;0;1;0;1;2;431930,03;4588889,96;218.397.045.542.465;414.468.591.488.051
2022S007132    ;8;Nou Barris;53;la Trinitat Nova;4409;Aiguablava                                        ;0079 0079;Dilluns;2022;11;Novembre;21;8;Matí;No és causa del  vianant;0;1;0;1;2;432064,62;4589389,88;218.552.526.446.618;414.513.731.561.868
2022S003097    ;8;Nou Barris;50;les Roquetes;359700;Vidal i Guasch                                    ;0012 0012;Dilluns;2022;5;Maig;23;3;Nit;No és causa del  vianant;0;0;0;0;4;431208,7;4588815,66;217.534.432.653.723;414.461.284.105.857
2022S004579    ;8;Nou Barris;50;les Roquetes;120807;Favència / Campreciós                             ;0217 0221;Dilluns;2022;7;Juliol;25;18;Tarda;No és causa del  vianant;0;0;0;0;2;431375,56;4588749,71;217.734.918.191.433;414.455.487.185.703
2022S006420    ;8;Nou Barris;50;les Roquetes;701267;Dalt (Llobregat)                                  ;1450000;Dilluns;2022;10;Octubre;24;16;Tarda;No és causa del  vianant;0;1;0;1;2;431253,54;4588685,4;217.589.591.117.745;414.449.590.535.749
2022S002629    ;8;Nou Barris;52;la Prosperitat;336409;Tissó / Pou                                       ;0054 0054;Dimecres;2022;5;Maig;4;0;Nit;No és causa del  vianant;0;1;0;1;2;431715,15;4588578,01;218.143.355.377.778;414.440.312.644.389
2022S004656    ;8;Nou Barris;52;la Prosperitat;209900;Meridiana / Santa Coloma                          ;0529 0529;Divendres;2022;7;Juliol;29;22;Nit;No és causa del  vianant;0;4;0;4;3;432164,83;4588560,7;218.681.811.918.095;414.439.135.167.145
2022S000533    ;8;Nou Barris;52;la Prosperitat;241200;Palamós                                           ;0028 0032;Dissabte;2022;1;Gener;29;8;Matí;No és causa del  vianant;0;0;0;0;4;431984,99;4588832,61;218.463.481.299.157;414.463.472.812.154
2022S005629    ;8;Nou Barris;52;la Prosperitat;701268;Dalt (Llobregat)                                  ;1550000;Dilluns;2022;9;Setembre;19;17;Tarda;No és causa del  vianant;0;2;0;2;3;432217,32;4588883,98;218.741.010.690.348;414.468.296.214.398
2022S006136    ;8;Nou Barris;52;la Prosperitat;701268;B-20 (Besòs)                                      ;1550000;Dimecres;2022;10;Octubre;12;2;Nit;No és causa del  vianant;0;2;0;2;2;432218,56;4588908,54;218.742.219.145.543;414.470.509.293.021
2022S005513    ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;194406;Maragall / Font d'en Fargas                       ;0346 0348;Dimecres;2022;9;Setembre;14;17;Tarda;Desobeir el senyal del semàfor;0;1;0;1;1;430408,36;4586777,12;216.599.905.104.883;414.276.990.381.485
2022S000746    ;8;Nou Barris;52;la Prosperitat;701268;Favència / Molí                                   ;1500000;Dimarts;2022;2;Febrer;8;7;Matí;No és causa del  vianant;0;1;0;1;2;431714,58;4588835,21;218.139.762.835.756;414.463.477.207.903
2022S004417    ;8;Nou Barris;52;la Prosperitat;70709;Sant Francesc Xavier                              ;0049 0049;Dimarts;2022;7;Juliol;19;13;Matí;No és causa del  vianant;0;1;0;1;1;431527,5;4588231,59;217.922.670.698.179;414.408.951.910.263
2022S003274    ;8;Nou Barris;51;Verdun;135509;Font de Canyelles                                 ;0081 0083;Dilluns;2022;5;Maig;30;1;Nit;No és causa del  vianant;0;0;0;0;2;431183,44;4588205,28;217.511.155.396.648;414.406.287.846.336
2022S000772    ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;209900;Meridiana                                         ;0367 0367;Dimecres;2022;2;Febrer;9;12;Matí;No és causa del  vianant;0;1;0;1;2;431884,48;4586892,18;218.365.061.022.195;414.288.619.864.546
2022S000216    ;8;Nou Barris;45;Porta;190100;Maladeta / Estudiant                              ;0026 0028;Divendres;2022;1;Gener;14;21;Tarda;No és causa del  vianant;0;2;0;2;2;431269,09;4587279,78;217.624.207.695.915;414.323.004.911.424
2022S003584    ;8;Nou Barris;51;Verdun;26605;Artesania                                         ;0038 0038;Dissabte;2022;6;Juny;11;12;Matí;No és causa del  vianant;0;1;0;1;1;431146,83;4588089,01;217.468.662.237.518;414.395.784.432.946
2022S002572    ;8;Nou Barris;52;la Prosperitat;174307;Júlia / Turó Blau                                 ;0016 0016;Dilluns;2022;5;Maig;2;10;Matí;Creuar per fora pas de vianants;0;1;0;1;1;431220,33;4588078,25;217.556.757.285.891;414.394.878.370.682
2022S003120    ;8;Nou Barris;45;Porta;255500;Piferrer                                          ;0160 0162;Dilluns;2022;5;Maig;23;19;Tarda;No és causa del  vianant;0;1;0;1;2;431361,39;4587243,38;217.735.083.380.068;414.319.805.500.781
2022S007435    ;9;Sant Andreu;62;el Congrés i els Indians;168905;Jordi de Sant Jordi / Pinar del Río               ;0027 0027;Dissabte;2022;12;Desembre;3;9;Matí;No és causa del  vianant;0;1;0;1;2;431817,68;4586165,14;218.293.326.862.215;414.223.081.097.753
2022S003037    ;8;Nou Barris;45;Porta;51704;Alcúdia / Bunyola                                 ;0023 0023;Divendres;2022;5;Maig;20;13;Matí;No és causa del  vianant;0;1;0;1;2;431202,72;4587831,74;217.538.489.055.339;414.372.661.037.587
