Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;NK_ Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_Lloc_atropellament_vianant;Descripcio_Motiu_desplaçament_vianant;Descripcio_Motiu_desplaçament_conductor;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y
2016S000001    ;2;Eixample;7;la Dreta de l'Eixample;144601;Diagonal;0361B0361B;Divendres;2016;1;Gener;1;Nit;0;No és causa del  vianant;Taxi;Home;41;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;430142,09;4583396,02
2016S000002    ;1;Ciutat Vella;3;la Barceloneta;194202;Mar;0022 0022;Divendres;2016;1;Gener;1;Nit;2;No és causa del  vianant;Motocicleta;Home;19;Passatger;Desconegut;Desconegut;Desconegut;Ferit lleu;432161,38;4581525,86
2016S000003    ;8;Nou Barris;53;la Trinitat Nova;209900;Meridiana;0595X0595X;Divendres;2016;1;Gener;1;Nit;5;No és causa del  vianant;Motocicleta;Home;24;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;432262,3;4589063,89
2016S000004    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0119 0119;Divendres;2016;1;Gener;1;Matí;6;No és causa del  vianant;Turismo;Dona;29;Vianant;Desconegut;Desconegut;Desconegut;Ferit lleu;429716,06;4582879,74
2016S000004    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0119 0119;Divendres;2016;1;Gener;1;Matí;6;No és causa del  vianant;Turismo;Dona;36;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;429716,06;4582879,74
2016S000004    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;32700;Balmes;0119 0119;Divendres;2016;1;Gener;1;Matí;6;No és causa del  vianant;Turismo;Home;45;Passatger;Desconegut;Desconegut;Desconegut;Ferit lleu;429716,06;4582879,74
2016S000005    ;8;Nou Barris;56;Vallbona;269902;Puig de Jorba;0064 0064;Divendres;2016;1;Gener;1;Matí;8;No és causa del  vianant;Turismo;Home;19;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;431550,62;4591099,16
2016S000006    ;7;Horta-Guinardó;35;el Guinardó;310008;Sant Quintí;0108 0108;Divendres;2016;1;Gener;1;Matí;9;No és causa del  vianant;Taxi;Dona;68;Vianant;Desconegut;Desconegut;Desconegut;Ferit lleu;431171,71;4585439,89
2016S000009    ;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;279600;República Argentina;0031 0031;Divendres;2016;1;Gener;1;Tarda;16;No és causa del  vianant;Motocicleta;Home;22;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;428822,07;4584640,13
2016S000010    ;8;Nou Barris;48;la Guineueta;75101;Caçador;0004X0004X;Divendres;2016;1;Gener;1;Tarda;14;Creuar per fora pas de vianants;Turismo;Home;29;Vianant;Desconegut;Desconegut;Desconegut;Ferit lleu;430485,19;4588271,15
