Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2010S006971;10;Sant Mart°;64;el Camp de l'Arpa del Clot;346402;Trinxant;0090 0090;Dijous;2010;10;Octubre;14;20;Tarda;No hi ha causa mediata;431940,75;4585401,48
2010S000574;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0253 0253;Dilluns;2010;1;Gener;25;7;Mat°;No hi ha causa mediata;431472,27;4585157,93
2010S004580;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0223 0225;Dijous;2010;7;Juliol;1;20;Tarda;No hi ha causa mediata;431347,82;4585028,7
2010S002999;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0270 0270;Dilluns;2010;5;Maig;3;7;Mat°;No hi ha causa mediata;431274,19;4585103,11
2010S007227;10;Sant Mart°;64;el Camp de l'Arpa del Clot;134801;Freser;0007 0007;Dilluns;2010;10;Octubre;25;9;Mat°;No hi ha causa mediata;431491,51;4584800,79
2010S001419;10;Sant Mart°;64;el Camp de l'Arpa del Clot;289105;Rossell¢;0498 0498;Divendres;2010;2;Febrer;26;14;Tarda;No hi ha causa mediata;431490,22;4584746,01
2010S003154;10;Sant Mart°;64;el Camp de l'Arpa del Clot;134801;Freser;0064 0064;Diumenge;2010;5;Maig;9;19;Tarda;No hi ha causa mediata;431585,78;4584964,87
2010S009049;10;Sant Mart°;64;el Camp de l'Arpa del Clot;350308;Valäncia;0583 0583;Divendres;2010;12;Desembre;31;6;Mat°;No hi ha causa mediata;431934,94;4584656,77
2010S008282;10;Sant Mart°;64;el Camp de l'Arpa del Clot;209900;Meridiana;0117B0117B;Dimecres;2010;12;Desembre;1;6;Mat°;No hi ha causa mediata;432100,43;4584633,9
2010S002715;10;Sant Mart°;64;el Camp de l'Arpa del Clot;286300;Rogent;0001 0001;Dijous;2010;4;Abril;22;14;Tarda;No hi ha causa mediata;432097,42;4584637,51
2010S006647;10;Sant Mart°;64;el Camp de l'Arpa del Clot;286300;Rogent;0001 0001;Divendres;2010;10;Octubre;1;11;Mat°;No hi ha causa mediata;432097,42;4584637,51
2010S006890;10;Sant Mart°;64;el Camp de l'Arpa del Clot;18505;Arag¢;0607 0607;Diumenge;2010;10;Octubre;10;14;Tarda;No hi ha causa mediata;432098,83;4584629,17
2010S001481;10;Sant Mart°;65;el Clot;89004;Consell de Cent;0631 0631;Dilluns;2010;3;Mará;1;16;Tarda;No hi ha causa mediata;432099,2;4584443,28
