Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;NK_ Any;Mes_ any;Nom_mes;Dia_mes;Descripcio_torn;Hora_dia;Descripcio_causa_vianant;Desc_Tipus_vehicle_implicat;Descripcio_sexe;Edat;Descripcio_tipus_persona;Descripcio_Lloc_atropellament_vianant;Descripcio_Motiu_desplaçament_vianant;Descripcio_Motiu_desplaçament_conductor;Descripcio_victimitzacio;Coordenada_UTM_X;Coordenada_UTM_Y
2015S005991;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimarts;2015;8;Agost;4;Desconegut;4;No és causa del  vianant;Motocicleta;Home;36;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;-1;-1
2015S004912;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dijous;2015;6;Juny;25;Desconegut;7;No és causa del  vianant;Turismo;Home;54;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;-1;-1
2015S009751;10;Sant Martí;64;el Camp de l'Arpa del Clot;224802;Nació;0030 0030;Dimarts;2015;12;Desembre;22;Desconegut;2;No és causa del  vianant;Motocicleta;Home;49;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;431990,72;4585145,1
2015S002580;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0216 0216;Dimarts;2015;4;Abril;7;Desconegut;5;Creuar per fora pas de vianants;Motocicleta;Home;13;Vianant;Desconegut;Desconegut;Desconegut;Ferit lleu;431799,95;4585448
2015S008919;10;Sant Martí;64;el Camp de l'Arpa del Clot;95506;Conca;0028 0028;Dimecres;2015;11;Novembre;25;Desconegut;2;No és causa del  vianant;Motocicleta;Home;49;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;431576,37;4585215,2
2015S002024;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0001 0003;Dimarts;2015;3;Març;17;Desconegut;12;Desobeir el senyal del semàfor;Ciclomotor;Dona;68;Vianant;Desconegut;Desconegut;Desconegut;Ferit lleu;431648,74;4585174,3
2015S000787;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0005 0005;Diumenge;2015;2;Febrer;1;Desconegut;4;No és causa del  vianant;Motocicleta;Home;33;Passatger;Desconegut;Desconegut;Desconegut;Ferit lleu;431644,1;4585194,82
2015S001125;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0023 0023;Divendres;2015;2;Febrer;20;Desconegut;5;No és causa del  vianant;Turismo;Dona;37;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;431626,67;4585270,45
2015S007294;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria;0255X0255X;Dimarts;2015;9;Setembre;29;Desconegut;2;Altres;Motocicleta;Home;49;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;431517,12;4585204,89
2015S002616;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0350 0350;Dimecres;2015;4;Abril;8;Desconegut;10;No és causa del  vianant;Motocicleta;Home;23;Conductor;Desconegut;Desconegut;Desconegut;Ferit lleu;431582,74;4585407,65
