Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2020S000001    ;7;Horta-Guinardó;36;la Font d'en Fargues;194406;Maragall;0353 0355;Dimecres;2020;1;Gener;1;0;Nit;No hi ha causa mediata;430501,45;4586751,53
2020S000002    ;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;0203 0203;Dimecres;2020;1;Gener;1;2;Nit;No hi ha causa mediata;428225,71;4580279,72
2020S000003    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;320704;Sarrià;0018 0018;Dimecres;2020;1;Gener;1;2;Nit;No hi ha causa mediata;428532,59;4582672,59
2020S000004    ;4;Les Corts;19;les Corts;101904;Doctor Fleming;0002 0002;Dimecres;2020;1;Gener;1;6;Matí;No hi ha causa mediata;427929,13;4582767,09
2020S000005    ;2;Eixample;7;la Dreta de l'Eixample;309406;Sant Pere;0029 0029;Dimecres;2020;1;Gener;1;4;Nit;No hi ha causa mediata;431157,87;4582598,57
2020S000006    ;3;Sants-Montjuïc;17;Sants - Badal;312400;Sants;0351 0355;Dimecres;2020;1;Gener;1;10;Matí;No hi ha causa mediata;427018,47;4581015,94
2020S000007    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0456 0456;Dimecres;2020;1;Gener;1;13;Matí;No hi ha causa mediata;431931,99;4587522,49
2020S000008    ;5;Sarrià-Sant Gervasi;23;Sarrià;315500;Santa Eulàlia;0023A0023A;Dimecres;2020;1;Gener;1;14;Tarda;No hi ha causa mediata;426049,39;4584165,47
2020S000009    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0286 0286;Dimecres;2020;1;Gener;1;14;Tarda;No hi ha causa mediata;430435,12;4582966,26
2020S000010    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria;0074 0074;Dimecres;2020;1;Gener;1;18;Tarda;No hi ha causa mediata;433207,58;4586347,25
2020S000011    ;9;Sant Andreu;60;Sant Andreu;209900;Meridiana;0450 0454;Dimecres;2020;1;Gener;1;17;Tarda;Alcoholèmia;431930,41;4587485,64
2020S000012    ;3;Sants-Montjuïc;13;la Marina de Port;169409;Corts Catalanes;0186 0186;Dimecres;2020;1;Gener;1;21;Tarda;No hi ha causa mediata;428132,8;4580116,76
2020S000013    ;7;Horta-Guinardó;43;Horta;69109;Cartellà;0175 0175;Dimecres;2020;1;Gener;1;22;Nit;No hi ha causa mediata;430312,14;4587069,31
2020S000014    ;9;Sant Andreu;61;la Sagrera;292507;Gran de la Sagrera;0087 0087;Dijous;2020;1;Gener;2;0;Nit;No hi ha causa mediata;432495,23;4586217,01
2020S000015    ;9;Sant Andreu;58;Baró de Viver;701497;B-10 (Llobregat);40000;Dijous;2020;1;Gener;2;8;Matí;No hi ha causa mediata;433346,77;4589084
2020S000016    ;7;Horta-Guinardó;37;el Carmel;325504;Sigüenza;0076 0076;Dimecres;2020;1;Gener;1;21;Tarda;No hi ha causa mediata;429316,61;4586333,62
2020S000017    ;3;Sants-Montjuïc;13;la Marina de Port;169409;Corts Catalanes;0156V0156V;Dijous;2020;1;Gener;2;12;Matí;No hi ha causa mediata;427981,21;4579963,82
2020S000018    ;5;Sarrià-Sant Gervasi;23;Sarrià;44709;Bonanova;0088 0088;Dijous;2020;1;Gener;2;14;Tarda;No hi ha causa mediata;426893,17;4583918,34
2020S000019    ;3;Sants-Montjuïc;13;la Marina de Port;135203;Foc;0085 0085;Dijous;2020;1;Gener;2;16;Tarda;No hi ha causa mediata;428358,19;4578917,18
2020S000020    ;8;Nou Barris;44;Vilapicina i la Torre Llobeta;194406;Maragall;0334B0334B;Dijous;2020;1;Gener;2;16;Tarda;No hi ha causa mediata;430530,43;4586772,29
2020S000021    ;2;Eixample;9;la Nova Esquerra de l'Eixample;18505;Aragó;0041 0041;Dijous;2020;1;Gener;2;16;Tarda;No hi ha causa mediata;428886,09;4581486,26
2020S000022    ;1;Ciutat Vella;2;el Barri Gòtic;177101;Laietana;0059 0059;Dijous;2020;1;Gener;2;14;Tarda;No hi ha causa mediata;431008,75;4582322,7
2020S000023    ;2;Eixample;7;la Dreta de l'Eixample;169409;Corts Catalanes;0600 0600;Dijous;2020;1;Gener;2;19;Tarda;No hi ha causa mediata;430291,57;4582229,49
2020S000024    ;2;Eixample;6;la Sagrada Família;105304;Dos de Maig;0267 0267;Dijous;2020;1;Gener;2;16;Tarda;No hi ha causa mediata;431556,95;4584619,83
2020S000025    ;9;Sant Andreu;57;la Trinitat Vella;314100;Santa Coloma;0099 0099;Dijous;2020;1;Gener;2;19;Tarda;No hi ha causa mediata;433025,66;4588976,11
2020S000026    ;2;Eixample;10;Sant Antoni;349207;Universitat;9999 9999;Dijous;2020;1;Gener;2;19;Tarda;No hi ha causa mediata;430201,14;4582101,46
2020S000027    ;2;Eixample;6;la Sagrada Família;350308;València;0521 0521;Dijous;2020;1;Gener;2;19;Tarda;No hi ha causa mediata;431622,79;4584356,24
2020S000028    ;2;Eixample;8;l'Antiga Esquerra de l'Eixample;363809;Villarroel;0155 0155;Dijous;2020;1;Gener;2;18;Tarda;No hi ha causa mediata;429325,57;4582322,85
2020S000029    ;3;Sants-Montjuïc;17;Sants - Badal;701434;Mig (Descendent);160000;Dijous;2020;1;Gener;2;21;Tarda;No hi ha causa mediata;427269,21;4581410,68
2020S000030    ;3;Sants-Montjuïc;14;la Font de la Guatlla;301608;Sant Fructuós;0024 0024;Dijous;2020;1;Gener;2;21;Tarda;No hi ha causa mediata;428772,34;4580594,87
2020S000031    ;3;Sants-Montjuïc;16;la Bordeta;169409;Corts Catalanes;0181X0181X;Divendres;2020;1;Gener;3;6;Matí;No hi ha causa mediata;428120,05;4580176,09
2020S000032    ;4;Les Corts;20;la Maternitat i Sant Ramon;144601;Diagonal;0647 0647;Divendres;2020;1;Gener;3;8;Matí;No hi ha causa mediata;426117,83;4582064,97
2020S000033    ;6;Gràcia;31;la Vila de Gràcia;138405;Gal·la Placídia;0002 0002;Divendres;2020;1;Gener;3;11;Matí;No hi ha causa mediata;429346,83;4583589,77
2020S000034    ;10;Sant Martí;70;el Besòs i el Maresme;701265;Litoral (Besòs);540000;Divendres;2020;1;Gener;3;12;Matí;No hi ha causa mediata;435063,16;4584821,23
2020S000035    ;8;Nou Barris;45;Porta;289852;Rosselló i Porcel;0002 0002;Divendres;2020;1;Gener;3;12;Matí;No hi ha causa mediata;431855,93;4587772,72
2020S000036    ;5;Sarrià-Sant Gervasi;24;les Tres Torres;28000;Augusta;0320 0322;Divendres;2020;1;Gener;3;13;Matí;No hi ha causa mediata;427013;4583581,84
