Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2017S007250    ;4;Les Corts;19;les Corts;144601;Diagonal / Entença                                ;0632 0632;Dimecres;2017;8;Agost;30;10;Matí;No hi ha causa mediata;427949.64;4582755.79
2017S000476    ;4;Les Corts;21;Pedralbes;248108;MIRET I SANS / Moneders                           ;0058 0058;Dimecres;2017;1;Gener;18;6;Matí;No hi ha causa mediata;425273.82;4583130.72
2017S009282    ;4;Les Corts;21;Pedralbes;21703;Dalt (Llobregat)                                  ;0013V0013V;Dijous;2017;11;Novembre;9;22;Nit;No hi ha causa mediata;425577.05;4582895.45
2017S005456    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;223606;Muntaner                                          ;0475 0475;Dijous;2017;6;Juny;22;10;Matí;No hi ha causa mediata;428077.38;4583978.90
2017S009196    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;143904;General Mitre                                     ;0110 0110;Dimarts;2017;11;Novembre;7;14;Tarda;No hi ha causa mediata;427907.83;4583855.20
2017S009158    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;248403;Prats de Molló / Modolell                         ;0008 0008;Diumenge;2017;11;Novembre;5;20;Tarda;No hi ha causa mediata;427969.63;4583869.51
2017S004654    ;4;Les Corts;21;Pedralbes;115400;Dalt (Llobregat)                                  ;0063 0063;Divendres;2017;5;Maig;26;15;Tarda;No hi ha causa mediata;425436.17;4582505.84
2017S008053    ;4;Les Corts;21;Pedralbes;115400;Esplugues                                         ;0075 0075;Divendres;2017;9;Setembre;29;17;Tarda;No hi ha causa mediata;425583.72;4582622.36
2017S007418    ;4;Les Corts;20;la Maternitat i Sant Ramon;84102;Collblanc                                         ;0092 0092;Dimarts;2017;9;Setembre;5;21;Tarda;No hi ha causa mediata;426134.25;4581070.80
2017S001525    ;4;Les Corts;20;la Maternitat i Sant Ramon;343903;AV DIAGONAL                                       ;0083 0083;Divendres;2017;2;Febrer;24;7;Matí;No hi ha causa mediata;426780.94;4581441.31
2017S005270    ;4;Les Corts;20;la Maternitat i Sant Ramon;700811;General Batet                                     ;0023 0023;Divendres;2017;6;Juny;16;12;Matí;No hi ha causa mediata;425482.01;4581542.53
2017S007538    ;4;Les Corts;21;Pedralbes;244300;Diagonal / Pius XII                               ;9998 9998;Dimarts;2017;9;Setembre;12;0;Nit;No hi ha causa mediata;426739.43;4582321.92
2017S001359    ;4;Les Corts;21;Pedralbes;62700;JOHN M. KEYNES                                    ;0023 0023;Dissabte;2017;2;Febrer;18;10;Matí;No hi ha causa mediata;426275.50;4583179.89
2017S007483    ;4;Les Corts;21;Pedralbes;700090;Doctor Ferran / Lluís Pericot                     ;0002 0002;Divendres;2017;9;Setembre;8;18;Tarda;No hi ha causa mediata;426895.87;4582511.51
2017S004975    ;4;Les Corts;20;la Maternitat i Sant Ramon;144601;Diagonal / Doctor Marañón                         ;0649 0651;Dimecres;2017;6;Juny;7;9;Matí;No hi ha causa mediata;425960.22;4582013.24
2017S000505    ;4;Les Corts;20;la Maternitat i Sant Ramon;205604;AV A BASTARDAS                                    ;0001 0001;Dijous;2017;1;Gener;19;8;Matí;No hi ha causa mediata;426849.39;4581793.48
2017S000336    ;4;Les Corts;21;Pedralbes;52707;SOR EULÀLIA ANZIZU                                ;0072 0072;Divendres;2017;1;Gener;13;13;Matí;No hi ha causa mediata;426183.84;4583055.54
2017S005083    ;4;Les Corts;20;la Maternitat i Sant Ramon;247353;Pau Gargallo / Pascual i Vila                     ;0009 0009;Divendres;2017;6;Juny;9;18;Tarda;No hi ha causa mediata;426235.00;4581911.37
2017S005893    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;138405;Gal·la Placídia                                   ;0009 0009;Dijous;2017;7;Juliol;6;15;Tarda;No hi ha causa mediata;429262.85;4583584.20
2017S009884    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;143904;General Mitre                                     ;0146 0146;Dilluns;2017;11;Novembre;27;18;Tarda;No hi ha causa mediata;428137.29;4584108.39
2017S009743    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;344101;Gràcia                                            ;0083 0083;Dijous;2017;11;Novembre;23;15;Tarda;No hi ha causa mediata;429137.78;4583409.96
2017S001185    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;175900;PL GAL·LA PLACÍDIA / Marià Cubí                   ;0021 0023;Diumenge;2017;2;Febrer;12;21;Tarda;No hi ha causa mediata;428995.96;4583589.15
2017S008351    ;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;32700;Balmes / Pàdua                                    ;0341 0341;Dimarts;2017;10;Octubre;10;9;Matí;No hi ha causa mediata;428441.78;4584079.95
