Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud;Latitud
2016S001896    ;-1;Desconegut;-1;Desconegut;-1;CTRA HTA CERDANY                                  ;1;Dimecres;2016;3;Març;9;15;Tarda;No és causa del  vianant;0;0;0;0;1;429369.52 ;4587865.5 ;215.344;41.437.411
2016S004886    ;-1;Desconegut;-1;Desconegut;-1;FOC / Jocs del 92                                 ;;Dimarts;2016;6;Juny;21;18;Tarda;No és causa del  vianant;0;2;0;2;2;428989.33 ;4579247.93;2.149.901;41.359.762
2016S000252    ;-1;Desconegut;-1;Desconegut;-1;CTRA C-58 (RIPOLLE                                ;0;Dimarts;2016;1;Gener;12;16;Tarda;No és causa del  vianant;0;2;0;2;4;431940.3  ;4590347.92;2.183.929;41.459.991
2016S000860    ;-1;Desconegut;-1;Desconegut;-1;NÚMERO 4 / F                                      ;;Dimecres;2016;2;Febrer;3;9;Matí;No és causa del  vianant;0;1;0;1;2;426830.03 ;4576250.78;212.445;41.332.574
2016S001165    ;-1;Desconegut;-1;Desconegut;-1;RDA LITORAL(LLOBRE                                ;K129      ;Diumenge;2016;2;Febrer;14;13;Matí;No és causa del  vianant;0;3;0;3;4;430583.49 ;4579502.49;2.168.929;41.362.194
2016S003833    ;-1;Desconegut;-1;Desconegut;-1;A / Número 3                                      ;Desconegut;Dijous;2016;5;Maig;19;12;Matí;No és causa del  vianant;0;1;0;1;1;428020.43 ;4576283.26;2.138.671;41.332.974
2016S003848    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0293 0293;Dijous;2016;5;Maig;19;16;Tarda;No és causa del  vianant;0;1;0;1;2;432113.76;4585394.94;2.186.554;41.415.388
2016S003418    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;346402;Trinxant;0014 0014;Dimecres;2016;5;Maig;4;16;Tarda;No és causa del  vianant;0;1;0;1;2;432108.45;4585245.88;2.186.511;41.414.045
2016S007530    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;346402;Trinxant;0014 0014;Dimarts;2016;10;Octubre;4;11;Matí;No és causa del  vianant;0;1;0;1;2;432108.45;4585245.88;2.186.511;41.414.045
2016S001928    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0236 0236;Dijous;2016;3;Març;10;13;Matí;No és causa del  vianant;0;1;0;1;2;431862.29;4585610.32;2.183.526;41.417.312
2016S004672    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0337 0337;Dimecres;2016;6;Juny;15;19;Tarda;Creuar per fora pas de vianants;0;2;0;2;1;431954.6;4585556.54;2.184.633;41.416.833
2016S007350    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0052 0054;Dimarts;2016;9;Setembre;27;18;Tarda;No és causa del  vianant;0;1;0;1;1;431625.93;4585434.72;218.071;41.415.707
2016S000160    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0052 0054;Dijous;2016;1;Gener;7;21;Tarda;No és causa del  vianant;0;1;0;1;2;431625.93;4585434.72;218.071;41.415.707
2016S002044    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0272 0274;Dilluns;2016;3;Març;14;22;Nit;No és causa del  vianant;0;1;0;1;1;431315.37;4585145.28;2.177.034;41.413.077
2016S000845    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria;0274 0274;Dimarts;2016;2;Febrer;2;19;Tarda;No és causa del  vianant;0;7;0;7;2;431549.59;4585199.49;2.179.828;41.413.584
2016S004060    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega;0634 0634;Divendres;2016;5;Maig;27;7;Matí;No és causa del  vianant;0;1;0;1;2;431394.03;4584846.74;2.178.013;41.410.391
2016S005290    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0577 0577;Dimecres;2016;7;Juliol;6;13;Matí;No és causa del  vianant;0;1;0;1;2;431916.67;4584638.84;2.184.282;41.408.562
2016S007411    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0518 0518;Dijous;2016;9;Setembre;29;12;Matí;No és causa del  vianant;0;1;0;1;2;431675.33;4584558.04;2.181.408;41.407.821
2016S006466    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0518 0518;Dimarts;2016;8;Agost;23;20;Tarda;No és causa del  vianant;0;2;0;2;2;431675.33;4584558.04;2.181.408;41.407.821
2016S006560    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0523 0525;Diumenge;2016;8;Agost;28;11;Matí;No és causa del  vianant;0;2;0;2;2;431753.98;4584672.03;2.182.328;41.408.854
2016S008788    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0535B0535B;Dimarts;2016;11;Novembre;15;22;Nit;No és causa del  vianant;0;1;0;1;2;431797.92;4584713.4;218.285;41.409.227
2016S000435    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0596 0596;Dimarts;2016;1;Gener;19;7;Matí;Creuar per fora pas de vianants;0;1;0;1;1;431989.06;4584867.9;2.185.129;41.410.631
2016S003779    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0601 0601;Dimarts;2016;5;Maig;17;14;Tarda;No és causa del  vianant;0;1;0;1;2;432026.67;4584748.4;2.185.585;41.409.562
2016S006083    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0098 0098;Dimecres;2016;8;Agost;3;15;Tarda;Creuar per fora pas de vianants;0;1;0;1;1;431636.75;4585075.78;2.180.883;41.412.474
2016S007429    ;10;Sant Martí;65;el Clot;60400;Canonge Rodó;0001 0001;Divendres;2016;9;Setembre;30;9;Matí;No és causa del  vianant;0;1;0;1;3;432192.33;4584745.52;2.187.572;41.409.549
2016S004637    ;10;Sant Martí;65;el Clot;60400;Canonge Rodó;0008 0008;Dimarts;2016;6;Juny;14;19;Tarda;No és causa del  vianant;0;1;0;1;2;432251.06;4584795.68;2.188.272;41.410.004
2016S004738    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0875 0875;Divendres;2016;6;Juny;17;15;Tarda;No és causa del  vianant;0;1;0;1;2;432627.9;4584587.81;2.192.793;41.408.163
2016S009950    ;10;Sant Martí;65;el Clot;209900;Meridiana;0190 0192;Dissabte;2016;12;Desembre;24;6;Matí;No és causa del  vianant;0;1;0;1;2;432163.69;4585132.63;2.187.181;41.413.032
2016S003354    ;10;Sant Martí;65;el Clot;209900;Meridiana;0208 0210;Dilluns;2016;5;Maig;2;18;Tarda;Transitar a peu per la calçada;0;0;1;1;1;432167.52;4585320.81;2.187.208;41.414.726
2016S007525    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0619 0619;Dimarts;2016;10;Octubre;4;11;Matí;No és causa del  vianant;0;1;0;1;2;432103.78;4584824.29;2.186.498;41.410.253
2016S009253    ;10;Sant Martí;65;el Clot;42306;Bilbao;0220X0220X;Dijous;2016;12;Desembre;1;14;Tarda;No és causa del  vianant;0;1;0;1;2;432540.41;4584990.51;2.191.708;41.411.785
2016S008094    ;10;Sant Martí;72;Sant Martí de Provençals;60807;Cantàbria;0051X0051X;Dilluns;2016;10;Octubre;24;16;Tarda;No és causa del  vianant;0;1;0;1;2;433132.05;4586063.96;2.198.672;41.421.499
2016S002555    ;10;Sant Martí;65;el Clot;89004;Consell de Cent;0606B0606B;Dilluns;2016;4;Abril;4;17;Tarda;No és causa del  vianant;0;1;0;1;2;432023.59;4584333.67;2.185.596;41.405.824
2016S003714    ;10;Sant Martí;72;Sant Martí de Provençals;158504;Huelva;0065I0065I;Dissabte;2016;5;Maig;14;17;Tarda;No és causa del  vianant;0;0;0;0;2;432901.52;4585663.11;2.195.952;41.417.877
2016S005688    ;10;Sant Martí;65;el Clot;105304;Dos de Maig;0208 0208;Dimarts;2016;7;Juliol;19;20;Tarda;No és causa del  vianant;0;2;0;2;2;431862.24;4584351.74;2.183.668;41.405.972
2016S003838    ;10;Sant Martí;65;el Clot;105304;Dos de Maig;0208 0208;Dijous;2016;5;Maig;19;12;Matí;No és causa del  vianant;0;1;0;1;2;431862.24;4584351.74;2.183.668;41.405.972
2016S000897    ;10;Sant Martí;65;el Clot;146902;Glòries Catalanes;0017X0017X;Dijous;2016;2;Febrer;4;11;Matí;Desobeir el senyal del semàfor;0;1;0;1;1;432069.63;4584155.03;2.186.166;41.404.225
2016S008513    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;0262 0262;Dimarts;2016;11;Novembre;8;9;Matí;Desobeir el senyal del semàfor;0;0;0;0;1;433233.37;4585816.35;2.199.907;41.419.282
2016S007433    ;10;Sant Martí;65;el Clot;161101;Independència;0223 0225;Divendres;2016;9;Setembre;30;11;Matí;No és causa del  vianant;0;1;0;1;2;432091.52;4584278.28;2.186.416;41.405.334
2016S003132    ;10;Sant Martí;65;el Clot;161101;Independència;0265B0265B;Dilluns;2016;4;Abril;25;13;Matí;No és causa del  vianant;0;1;0;1;2;431934.23;4584429.58;2.184.521;41.406.681
2016S008198    ;10;Sant Martí;65;el Clot;18505;Aragó;0594 0594;Dijous;2016;10;Octubre;27;16;Tarda;No és causa del  vianant;0;2;0;2;2;432188.79;4584671.88;2.187.532;41.408.882
2016S000154    ;10;Sant Martí;72;Sant Martí de Provençals;15201;Andrade;0132 0132;Divendres;2016;1;Gener;8;7;Matí;No és causa del  vianant;0;1;0;1;2;433260.7;4585363.67;2.200.281;41.415.205
2016S000455    ;10;Sant Martí;72;Sant Martí de Provençals;30409;Bac de Roda;0178 0178;Dimarts;2016;1;Gener;19;20;Tarda;No és causa del  vianant;0;1;0;1;2;433011.99;4585093.22;2.197.331;41.412.752
2016S007557    ;10;Sant Martí;72;Sant Martí de Provençals;153205;Guipúscoa;0060 0060;Dimecres;2016;10;Octubre;5;15;Tarda;No és causa del  vianant;0;1;0;1;2;432977.18;4585446.75;2.196.885;41.415.929
2016S001348    ;10;Sant Martí;73;la Verneda i la Pau;60807;Cantàbria;0071 0071;Dissabte;2016;2;Febrer;20;14;Tarda;No és causa del  vianant;0;0;0;0;1;433123.02;4586300.49;2.198.538;41.423.633
2016S007809    ;10;Sant Martí;72;Sant Martí de Provençals;3406;Agricultura;0260 0260;Divendres;2016;10;Octubre;14;8;Matí;No és causa del  vianant;0;1;0;1;1;433302.68;4585756.57;220.074;41.418.748
2016S008261    ;10;Sant Martí;73;la Verneda i la Pau;86200;Concili de Trento;0284 0284;Dissabte;2016;10;Octubre;29;6;Matí;No és causa del  vianant;0;0;0;0;4;433727.74;4586005.66;2.205.798;41.421.026
2016S002818    ;10;Sant Martí;73;la Verneda i la Pau;318906;Santander;0057 0061;Dijous;2016;4;Abril;14;9;Matí;No és causa del  vianant;0;1;0;1;2;433415.11;4586758.7;2.201.981;41.427.782
2016S008260    ;10;Sant Martí;73;la Verneda i la Pau;318906;Santander;0063 0063;Dissabte;2016;10;Octubre;29;5;Nit;No és causa del  vianant;0;2;0;2;2;433490.77;4586875.02;2.202.866;41.428.842
2016S004890    ;10;Sant Martí;73;la Verneda i la Pau;153205;Guipúscoa;0108 0108;Dimarts;2016;6;Juny;21;18;Tarda;No és causa del  vianant;0;1;0;1;1;433395.88;4585855.58;2.201.842;41.419.647
2016S009547    ;10;Sant Martí;73;la Verneda i la Pau;153205;Guipúscoa;0110 0110;Dilluns;2016;12;Desembre;12;18;Tarda;No és causa del  vianant;0;1;0;1;1;433413.24;4585872.64;2.202.055;41.419.802
2016S005970    ;10;Sant Martí;70;el Besòs i el Maresme;165408;Jaume Fabre;0001 0001;Divendres;2016;7;Juliol;29;16;Tarda;No és causa del  vianant;0;1;0;1;2;434651.99;4585174.61;2.216.944;41.413.617
2016S004357    ;10;Sant Martí;73;la Verneda i la Pau;153205;Guipúscoa;0141 0143;Dissabte;2016;6;Juny;4;19;Tarda;No és causa del  vianant;0;1;0;1;1;433670.74;4586183.07;2.205.096;41.422.624
2016S002682    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0006 0006;Divendres;2016;4;Abril;8;19;Tarda;No és causa del  vianant;0;0;0;0;2;434819.14;4584988.95;2.218.974;41.411.955
2016S003716    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0018 0018;Dissabte;2016;5;Maig;14;18;Tarda;No és causa del  vianant;0;0;1;1;1;434696.59;4585113.04;2.217.489;41.413.071
2016S006832    ;10;Sant Martí;70;el Besòs i el Maresme;701266;Litoral (Llobregat);580000;Dijous;2016;9;Setembre;8;17;Tarda;No és causa del  vianant;0;0;0;0;2;434871.49;4584474.96;2.219.651;4.140.733
2016S006994    ;10;Sant Martí;70;el Besòs i el Maresme;195409;Maresme;0108 0110;Dimecres;2016;9;Setembre;14;22;Nit;No és causa del  vianant;0;2;0;2;2;434227.88;4585373.55;2.211.849;41.415.375
2016S006817    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0092 0092;Dimecres;2016;9;Setembre;7;20;Tarda;No és causa del  vianant;0;1;0;1;2;434329.4;4585486.73;2.213.057;41.416.401
2016S008303    ;10;Sant Martí;70;el Besòs i el Maresme;701414;C-31;20870000;Dilluns;2016;10;Octubre;31;9;Matí;No és causa del  vianant;0;1;0;1;1;434220.18;4586088.06;2.211.688;41.421.814
2016S004566    ;10;Sant Martí;70;el Besòs i el Maresme;266405;Prim;0154U0154U;Dissabte;2016;6;Juny;11;13;Matí;No és causa del  vianant;0;1;0;1;2;434041.53;4585790.06;2.209.578;41.419.115
2016S000179    ;10;Sant Martí;70;el Besòs i el Maresme;186703;Llull;0377 0377B;Divendres;2016;1;Gener;8;22;Nit;No és causa del  vianant;0;1;0;1;2;434467.95;4584886.01;2.214.774;41.411.008
2016S004784    ;10;Sant Martí;70;el Besòs i el Maresme;186703;Llull;0377 0377B;Dissabte;2016;6;Juny;18;21;Tarda;No és causa del  vianant;0;1;0;1;2;434467.95;4584886.01;2.214.774;41.411.008
2016S000333    ;10;Sant Martí;71;Provençals del Poblenou;94300;Cristóbal de Moura;0163 0163;Divendres;2016;1;Gener;15;8;Matí;No és causa del  vianant;0;1;0;1;2;434016.61;4585167.89;2.209.347;41.413.502
2016S006662    ;10;Sant Martí;71;Provençals del Poblenou;143609;Josep Pla;0125 0125;Dijous;2016;9;Setembre;1;16;Tarda;No és causa del  vianant;0;1;0;1;2;433998.94;4585194.03;2.209.129;41.413.744
2016S000493    ;10;Sant Martí;71;Provençals del Poblenou;144601;Diagonal;0098 0100;Dijous;2016;1;Gener;21;7;Matí;No és causa del  vianant;0;1;0;1;3;433734.49;4584596.52;2.206.036;41.408.336
2016S009073    ;10;Sant Martí;71;Provençals del Poblenou;169409;Corts Catalanes;0932 0932;Divendres;2016;11;Novembre;25;15;Tarda;No és causa del  vianant;0;1;0;1;1;432761.97;4584612.09;2.194.394;41.408.399
2016S005207    ;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20750000;Diumenge;2016;7;Juliol;3;21;Tarda;No és causa del  vianant;0;2;0;2;2;433366.47;4585249.15;2.201.561;41.414.187
2016S009096    ;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20750000;Dissabte;2016;11;Novembre;26;6;Matí;No és causa del  vianant;0;1;0;1;2;433366.47;4585249.15;2.201.561;41.414.187
2016S009472    ;10;Sant Martí;71;Provençals del Poblenou;701414;C-31;20750000;Divendres;2016;12;Desembre;9;19;Tarda;No és causa del  vianant;0;1;0;1;2;433366.47;4585249.15;2.201.561;41.414.187
2016S009464    ;10;Sant Martí;71;Provençals del Poblenou;253902;Perú;0073 0073;Divendres;2016;12;Desembre;9;13;Matí;No és causa del  vianant;0;3;0;3;2;432813.65;4584553.31;2.195.022;41.407.872
2016S001712    ;10;Sant Martí;71;Provençals del Poblenou;249304;Pere IV;0423 0425;Dijous;2016;3;Març;3;16;Tarda;No és causa del  vianant;0;1;0;1;1;433732.91;4585220.45;2.205.944;41.413.956
2016S003437    ;10;Sant Martí;71;Provençals del Poblenou;249304;Pere IV;0429 0431;Dijous;2016;5;Maig;5;7;Matí;No és causa del  vianant;0;1;0;1;2;433758.6;4585262.14;220.625;41.414.336
