Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_conductor;Coordenada_UTM_X_ED50;Coordenada_UTM_Y_ED50;Longitud;Latitud
2016S008785    ;-1;Desconegut;-1;Desconegut;-1;NÚMERO 6 / A                                      ;Desconegut;Dimarts;2016;11;Novembre;15;22;Nit;Desobeir altres senyals;427519.99 ;4575229.36;216.589.108.024.690;413.751.655.474.142
2016S006269    ;-1;Desconegut;-1;Desconegut;-1;ALMIRALL CERVERA / Sevilla                        ;Desconegut;Divendres;2016;8;Agost;12;8;Matí;No respectat pas de vianants;432316.21 ;4581276.81;215.473.697.221.510;413.763.670.438.600
2016S005498    ;-1;Desconegut;-1;Desconegut;-1;NÚMERO 3 / E                                      ;Desconegut;Dimecres;2016;7;Juliol;13;5;Nit;Altres;427265.97 ;4576644.81;215.742.662.932.905;413.812.840.639.166
2016S001172    ;-1;Desconegut;-1;Desconegut;-1;RDA DALT (BESÒS)                                  ;K00046    ;Diumenge;2016;2;Febrer;14;21;Tarda;No respectar distàncies;424991.14 ;4581760.18;215.742.662.932.905;413.812.840.639.166
2016S002566    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;283200;Ripollès;0093 0093;Dimarts;2016;4;Abril;5;7;Matí;No determinada;432141.03 ;4585382.64;216.315.571.227.123;413.818.594.590.244
2016S008866    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;283200;Ripollès;0093 0093;Divendres;2016;11;Novembre;18;9;Matí;Gir indegut o sense precaució;432141.03 ;4585382.64;215.470.829.784.992;413.772.058.848.001
2016S003312    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;283200;Ripollès;0094 0094;Diumenge;2016;5;Maig;1;14;Tarda;No respectar distàncies;432107.36 ;4585401.41;216.207.525.573.498;413.760.736.298.562
2016S009619    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0380 0380;Dijous;2016;12;Desembre;15;8;Matí;No respectat pas de vianants;431837.48 ;4585501.88;216.229.800.868.244;413.797.870.743.978
2016S004672    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;346402;Trinxant;0114 0114;Dimecres;2016;6;Juny;15;19;Tarda;Altres;431954.6  ;4585556.54;215.867.970.518.957;413.803.304.141.042
2016S003934    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria;0289 0289;Diumenge;2016;5;Maig;22;14;Tarda;No respectat pas de vianants;431603.55 ;4585443.43;215.119.410.090.065;413.844.304.535.281
2016S002501    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161407;Indústria;0276B0276B;Divendres;2016;4;Abril;1;22;Nit;Desobeir semàfor;431372.38 ;4585035.95;213.281.660.051.173;413.234.370.600.014
2016S001239    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;194406;Maragall;0007 0009;Dimecres;2016;2;Febrer;17;14;Tarda;No determinada;431511.02 ;4585166.35;218.944.564.549.588;413.783.224.998.282
2016S004919    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;145808;Ginecòs;0036 0036;Dimecres;2016;6;Juny;22;14;Tarda;Avançament defectuós/improcedent;431880.71 ;4585472.75;212.961.207.031.110;413.361.626.820.179
2016S009702    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;105304;Dos de Maig;0316 0316;Dissabte;2016;12;Desembre;17;10;Matí;Desobeir semàfor;431369.31 ;4584838.67;210.179.512.301.131;413.820.259.482.859
2016S003550    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;95506;Conca;0019 0019;Dilluns;2016;5;Maig;9;11;Matí;Manca precaució incorporació circulació;431427.92 ;4585079.15;218.689.031.416.923;414.152.877.819.504
2016S009537    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;310008;Sant Quintí;0027 0027;Dilluns;2016;12;Desembre;12;15;Tarda;Manca d'atenció a la conducció;431466.56 ;4584937.05;218.689.031.416.923;414.152.877.819.504
2016S002935    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;310008;Sant Quintí;0027 0027;Dilluns;2016;4;Abril;18;15;Tarda;Manca precaució incorporació circulació;431466.56 ;4584937.05;218.648.535.712.315;414.154.539.910.057
2016S009602    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;74302;Catalunya;0002 0002;Dimecres;2016;12;Desembre;14;17;Tarda;No respectar distàncies;431555.77 ;4585028.44;218.324.500.955.059;414.163.360.253.212
2016S007411    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;191204;Mallorca;0513 0513;Dijous;2016;9;Setembre;29;12;Matí;Gir indegut o sense precaució;431651.12 ;4584550.19;218.464.017.265.558;414.168.382.654.042
2016S004508    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;268003;Provença;0564 0568;Dijous;2016;6;Juny;9;17;Tarda;Manca d'atenció a la conducció;431808.78 ;4584533.99;218.045.270.073.654;414.157.896.907.166
2016S004680    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0570 0570;Dijous;2016;6;Juny;16;8;Matí;No determinada;432131.07 ;4584631.66;217.773.308.993.490;414.120.999.267.152
2016S000435    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;98209;Degà Bahí;0012 0014;Dimarts;2016;1;Gener;19;7;Matí;Desconegut;431982.15 ;4584861.14;217.937.700.515.345;414.132.862.341.501
2016S000908    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;18505;Aragó;0567 0569;Dijous;2016;2;Febrer;4;16;Tarda;Altres;431988.96 ;4584692.18;218.376.553.105.755;414.160.773.298.026
2016S000582    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;109101;Enamorats;0128 0128;Dissabte;2016;1;Gener;23;21;Tarda;No determinada;431930.44 ;4584810.5 ;217.771.875.731.547;414.103.228.277.772
2016S001867    ;10;Sant Martí;65;el Clot;367800;Washington;0001 0001;Dimarts;2016;3;Març;8;17;Tarda;Canvi de carril sense precaució;432411.1  ;4585107.29;217.839.267.023.733;414.124.937.598.545
2016S006105    ;10;Sant Martí;72;Sant Martí de Provençals;128106;Fluvià;0249 0249;Dijous;2016;8;Agost;4;12;Matí;No respectat pas de vianants;432459.51 ;4584809.66;217.887.107.228.739;414.112.172.101.638
2016S002927    ;10;Sant Martí;72;Sant Martí de Provençals;86200;Concili de Trento;0095 0095;Dilluns;2016;4;Abril;18;13;Matí;No determinada;432108.71 ;4584873.51;217.887.107.228.739;414.112.172.101.638
2016S001349    ;10;Sant Martí;72;Sant Martí de Provençals;128707;Fondal de Sant Martí;0016 0016;Dissabte;2016;2;Febrer;20;17;Tarda;Desobeir altres senyals;432134.81 ;4584834.86;217.992.801.964.935;414.120.479.392.177
2016S007623    ;10;Sant Martí;65;el Clot;210003;Meridional;0006 0006;Divendres;2016;10;Octubre;7;9;Matí;Manca d'atenció a la conducció;432609.18 ;4585145.59;218.112.285.591.895;414.077.486.147.055
2016S000611    ;10;Sant Martí;72;Sant Martí de Provençals;15201;Andrade;0118 0118;Dilluns;2016;1;Gener;25;9;Matí;Altres;432349.81 ;4584858.94;218.301.080.409.573;414.076.161.086.688
2016S004930    ;10;Sant Martí;65;el Clot;355200;Vehils;0006 0006;Dimecres;2016;6;Juny;22;18;Tarda;Manca d'atenció a la conducció;431996.66 ;4584343.27;218.685.546.165.919;414.085.230.938.487
2016S008392    ;10;Sant Martí;65;el Clot;81603;Clot;0120 0122;Dijous;2016;11;Novembre;3;16;Tarda;Manca d'atenció a la conducció;432847.16 ;4585262.08;218.504.805.865.768;414.105.773.504.765
2016S008313    ;10;Sant Martí;65;el Clot;701220;Gabriela Mistral;0008 0008;Dilluns;2016;10;Octubre;31;17;Tarda;Desobeir altres senyals;431837.23 ;4584359.62;218.514.853.915.465;414.090.561.565.202
2016S002062    ;10;Sant Martí;65;el Clot;191204;Mallorca;0615 0617;Dimarts;2016;3;Març;15;14;Tarda;Canvi de carril sense precaució;431979.59 ;4584424.45;218.443.511.530.671;414.101.168.700.599
2016S007500    ;10;Sant Martí;65;el Clot;191204;Mallorca;0623 0623;Dilluns;2016;10;Octubre;3;15;Tarda;Manca d'atenció a la conducció;432311.05 ;4584204.03;219.015.239.010.841;414.128.305.685.902
2016S006126    ;10;Sant Martí;65;el Clot;191204;Mallorca;0623 0623;Divendres;2016;8;Agost;5;15;Tarda;Desconegut;432255.32 ;4584222.72;219.076.482.951.806;414.101.539.772.622
2016S003655    ;10;Sant Martí;65;el Clot;191204;Mallorca;0623 0623;Dijous;2016;5;Maig;12;18;Tarda;Canvi de carril sense precaució;432172.41 ;4584181.5 ;218.656.080.151.972;414.106.994.732.841
2016S007874    ;10;Sant Martí;65;el Clot;113506;Escultors Claperós;0087X0093X;Diumenge;2016;10;Octubre;16;17;Tarda;Altres;432131.07 ;4584631.66;218.687.739.482.471;414.103.535.707.289
