Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2019S001972    ;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimecres;2019;3;Març;13;20;Tarda;Alcoholèmia;425271,78;4582185,56
2019S002789    ;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimarts;2019;4;Abril;9;9;Matí;No hi ha causa mediata;429393,43;4582076,68
2019S008204    ;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimecres;2019;10;Octubre;23;13;Matí;No hi ha causa mediata;429393,43;4582076,68
2019S009935    ;-1;Desconegut;-1;Desconegut;-1;Desconegut;Desconegut;Dimarts;2019;12;Desembre;24;20;Tarda;No hi ha causa mediata;430594,53;4579494,76
2019S006753    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;209900;Meridiana;0163 0163;Dissabte;2019;8;Agost;31;4;Nit;No hi ha causa mediata;432111,21;4585072,01
2019S009443    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0021 0021;Dissabte;2019;12;Desembre;7;14;Tarda;No hi ha causa mediata;431554,07;4584884,72
2019S006856    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;90502;Còrsega;0634 0634;Dimecres;2019;9;Setembre;4;7;Matí;No hi ha causa mediata;431369,31;4584838,67
2019S003119    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;268003;Provença;0557 0559;Dimecres;2019;4;Abril;24;9;Matí;No hi ha causa mediata;431660,6;4584737,39
2019S001985    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;268003;Provença;0598 0598;Dijous;2019;3;Març;14;9;Matí;No hi ha causa mediata;431796,47;4584859,29
2019S004807    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0583 0583;Dimecres;2019;6;Juny;19;18;Tarda;No hi ha causa mediata;431943,56;4584665,15
2019S004780    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;350308;València;0613 0613;Dimarts;2019;6;Juny;18;14;Tarda;No hi ha causa mediata;432056,99;4584778,47
2019S009273    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;161101;Independència;0252 0252;Dissabte;2019;11;Novembre;30;15;Tarda;No hi ha causa mediata;431934,16;4584454,66
2019S001799    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;156305;Historiador Maians;0009 0009;Dijous;2019;3;Març;7;11;Matí;No hi ha causa mediata;431769,43;4584944,37
2019S000799    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0092 0094;Dimecres;2019;1;Gener;30;18;Tarda;No hi ha causa mediata;431632,33;4585054,66
2019S000101    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0114 0122;Dissabte;2019;1;Gener;5;10;Matí;No hi ha causa mediata;431648,75;4585130,16
2019S000754    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;134801;Freser;0136 0136;Dilluns;2019;1;Gener;28;15;Tarda;Calçada en mal estat;431666,53;4585171,58
2019S004772    ;10;Sant Martí;64;el Camp de l'Arpa del Clot;217104;Muntanya;0079 0079;Dimarts;2019;6;Juny;18;20;Tarda;No hi ha causa mediata;431948,91;4585026,43
2019S008327    ;10;Sant Martí;72;Sant Martí de Provençals;30409;Bac de Roda;0193 0199;Dilluns;2019;10;Octubre;28;8;Matí;No hi ha causa mediata;432847,49;4585262,44
2019S000363    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0823;Dimarts;2019;1;Gener;15;15;Tarda;No hi ha causa mediata;432278,76;4584102,02
2019S007682    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0823;Dissabte;2019;10;Octubre;5;14;Tarda;No hi ha causa mediata;432278,76;4584102,02
2019S006283    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0823;Dimecres;2019;8;Agost;7;13;Matí;No hi ha causa mediata;432042;4583976,74
2019S005211    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0823;Dimarts;2019;7;Juliol;2;19;Tarda;No hi ha causa mediata;432278,76;4584102,02
2019S008140    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0823;Dilluns;2019;10;Octubre;21;16;Tarda;No hi ha causa mediata;432300,34;4584050,97
2019S008699    ;10;Sant Martí;65;el Clot;169409;Corts Catalanes;0823 0823;Dissabte;2019;11;Novembre;9;12;Matí;No hi ha causa mediata;432278,76;4584102,02
2019S000159    ;10;Sant Martí;65;el Clot;209900;Meridiana;0068 0068;Dimarts;2019;1;Gener;8;8;Matí;Calçada en mal estat;432127,7;4584285,31
2019S007479    ;10;Sant Martí;65;el Clot;209900;Meridiana;0068 0068;Diumenge;2019;9;Setembre;29;2;Nit;No hi ha causa mediata;432127,7;4584285,31
2019S009049    ;10;Sant Martí;65;el Clot;209900;Meridiana;0068 0068;Divendres;2019;11;Novembre;22;17;Tarda;No hi ha causa mediata;432127,7;4584285,31
2019S005443    ;10;Sant Martí;72;Sant Martí de Provençals;169409;Corts Catalanes;1005 1005;Dilluns;2019;7;Juliol;8;17;Tarda;No hi ha causa mediata;433164,53;4585148,5
2019S005495    ;10;Sant Martí;72;Sant Martí de Provençals;153205;Guipúscoa;0070 0074;Dijous;2019;7;Juliol;11;13;Matí;No hi ha causa mediata;433066,85;4585534,2
2019S000029    ;10;Sant Martí;72;Sant Martí de Provençals;30409;Bac de Roda;0165 0169;Dimecres;2019;1;Gener;2;15;Tarda;No hi ha causa mediata;432979,65;4585103,25
2019S002195    ;10;Sant Martí;65;el Clot;18505;Aragó;0568 0570;Dijous;2019;3;Març;21;8;Matí;No hi ha causa mediata;432004,74;4584492,69
2019S008949    ;10;Sant Martí;65;el Clot;161101;Independència;0250 0250;Dimarts;2019;11;Novembre;19;19;Tarda;No hi ha causa mediata;431934,16;4584454,66
2019S009713    ;10;Sant Martí;72;Sant Martí de Provençals;153205;Guipúscoa;0037 0037;Dimarts;2019;12;Desembre;17;12;Matí;No hi ha causa mediata;432835,77;4585366,76
2019S002171    ;10;Sant Martí;65;el Clot;18505;Aragó;0556 0556;Dimecres;2019;3;Març;20;12;Matí;No hi ha causa mediata;431934,16;4584454,66
2019S005387    ;10;Sant Martí;65;el Clot;89004;Consell de Cent;0606B0606B;Dilluns;2019;7;Juliol;8;12;Matí;No hi ha causa mediata;432028,36;4584359,69
2019S002087    ;10;Sant Martí;65;el Clot;146902;Glòries Catalanes;0019 0019;Diumenge;2019;3;Març;17;15;Tarda;No hi ha causa mediata;432042;4583976,74
