Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2014S002902;10;Sant Mart°;64;el Camp de l'Arpa del Clot;209900;Meridiana;0163 0163;Dissabte;2014;4;Abril;19;3;Nit;Alcoholämia;432111,21;4585072,01
2014S002456;10;Sant Mart°;64;el Camp de l'Arpa del Clot;134801;Freser;0101 0101;Dijous;2014;4;Abril;3;10;Mat°;No hi ha causa mediata;431800;4585510,29
2014S009148;10;Sant Mart°;64;el Camp de l'Arpa del Clot;194406;Maragall;0052 0054;Divendres;2014;12;Desembre;12;16;Tarda;No hi ha causa mediata;431625,93;4585434,72
2014S006504;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0358 0358;Dimecres;2014;9;Setembre;10;14;Tarda;No hi ha causa mediata;431690,1;4585511,58
2014S008753;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0275 0277;Divendres;2014;11;Novembre;28;7;Mat°;No hi ha causa mediata;431614,01;4585302,06
2014S003302;10;Sant Mart°;64;el Camp de l'Arpa del Clot;194406;Maragall;0029 0031;Dilluns;2014;5;Maig;5;17;Tarda;No hi ha causa mediata;431615,03;4585336,24
2014S005131;10;Sant Mart°;64;el Camp de l'Arpa del Clot;105304;Dos de Maig;0310 0310;Divendres;2014;7;Juliol;11;7;Mat°;No hi ha causa mediata;431311,47;4584913,83
2014S008084;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0274 0274;Dimarts;2014;11;Novembre;4;23;Nit;No hi ha causa mediata;431549,59;4585199,49
2014S005241;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0547 0549;Dimarts;2014;7;Juliol;15;12;Mat°;No hi ha causa mediata;431855,34;4584766,72
2014S007612;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0556 0556;Dimarts;2014;10;Octubre;21;7;Mat°;No hi ha causa mediata;431832,66;4584713,56
2014S001734;10;Sant Mart°;64;el Camp de l'Arpa del Clot;105304;Dos de Maig;0228 0228;Diumenge;2014;3;Mará;9;3;Nit;No hi ha causa mediata;431768,96;4584451,5
2014S008447;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0521 0521;Dimarts;2014;11;Novembre;18;0;Nit;Alcoholämia;431721,52;4584636,21
2014S005525;10;Sant Mart°;64;el Camp de l'Arpa del Clot;18505;Arag¢;0605 0605;Divendres;2014;7;Juliol;25;13;Mat°;No hi ha causa mediata;432087,63;4584618,32
2014S000978;10;Sant Mart°;64;el Camp de l'Arpa del Clot;41507;Besal£;0037 0037;Divendres;2014;2;Febrer;7;23;Nit;No hi ha causa mediata;431873,93;4585199,8
2014S009029;10;Sant Mart°;65;el Clot;18505;Arag¢;0580 0580;Dimarts;2014;12;Desembre;9;12;Mat°;No hi ha causa mediata;432060,89;4584555,67
2014S006265;10;Sant Mart°;65;el Clot;209900;Meridiana;0116 0120;Dissabte;2014;8;Agost;30;21;Tarda;No hi ha causa mediata;432158,2;4584587,86
2014S000677;10;Sant Mart°;65;el Clot;105304;Dos de Maig;0208 0208;Dimecres;2014;1;Gener;29;10;Mat°;No hi ha causa mediata;431862,24;4584351,74
2014S003395;10;Sant Mart°;65;el Clot;146902;Glïries Catalanes;0019 0019;Dijous;2014;5;Maig;8;19;Tarda;No hi ha causa mediata;432172,41;4584181,5
2014S005967;10;Sant Mart°;65;el Clot;146902;Glïries Catalanes;0019 0019;Divendres;2014;8;Agost;15;2;Nit;ExcÇs de velocitat o inadequada;432172,41;4584181,5
2014S002993;10;Sant Mart°;65;el Clot;146902;Glïries Catalanes;0019 0019;Dijous;2014;4;Abril;24;10;Mat°;No hi ha causa mediata;432172,41;4584181,5
2014S006701;10;Sant Mart°;65;el Clot;146902;Glïries Catalanes;0019 0019;Dijous;2014;9;Setembre;18;13;Mat°;No hi ha causa mediata;432172,41;4584181,5
2014S007434;10;Sant Mart°;65;el Clot;161101;Independäncia;0231 0231;Dimecres;2014;10;Octubre;15;8;Mat°;Drogues o medicaments;432061,34;4584309,8
2014S006528;10;Sant Mart°;65;el Clot;169409;Corts Catalanes;0823 0823;Dijous;2014;9;Setembre;11;1;Nit;No hi ha causa mediata;432229,7;4584197,87
2014S000782;10;Sant Mart°;72;Sant Mart° de Provenáals;30409;Bac de Roda;0178 0178;Diumenge;2014;2;Febrer;2;3;Nit;Alcoholämia;433011,99;4585093,22
2014S004865;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0027 0027;Dimecres;2014;7;Juliol;2;19;Tarda;No hi ha causa mediata;432752,43;4585285,75
2014S008586;10;Sant Mart°;72;Sant Mart° de Provenáals;268604;Pont del Treball Digne;0001 0003;Divendres;2014;11;Novembre;21;13;Mat°;No hi ha causa mediata;433100,74;4586079,15
2014S003693;10;Sant Mart°;72;Sant Mart° de Provenáals;30409;Bac de Roda;0161 0161;Dimarts;2014;5;Maig;20;9;Mat°;No hi ha causa mediata;433018,94;4585040,87
2014S007156;10;Sant Mart°;72;Sant Mart° de Provenáals;6302;Alcal† de Guadaira;0002B0002B;Diumenge;2014;10;Octubre;5;13;Mat°;No hi ha causa mediata;433023,08;4585554,91
2014S001286;10;Sant Mart°;72;Sant Mart° de Provenáals;266802;Juli†n Besteiro;0015 0015;Dimarts;2014;2;Febrer;25;20;Tarda;No hi ha causa mediata;432996,08;4585455,85
2014S008871;10;Sant Mart°;72;Sant Mart° de Provenáals;60807;CantÖbria;0029 0029;Dimarts;2014;12;Desembre;2;14;Tarda;No hi ha causa mediata;433330,95;4585862,62
2014S007253;10;Sant Mart°;72;Sant Mart° de Provenáals;60807;CantÖbria;0035B0035B;Dimecres;2014;10;Octubre;8;18;Tarda;No hi ha causa mediata;433238,2;4585955,65
2014S002309;10;Sant Mart°;72;Sant Mart° de Provenáals;158504;Huelva;0066 0066;Dissabte;2014;3;Mará;29;5;Nit;No hi ha causa mediata;432915,7;4585584,63
