Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2012S004345;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0299 0301;Divendres;2012;6;Juny;15;19;Tarda;No hi ha causa mediata;431773,98;4585456,71
2012S007349;10;Sant Mart°;64;el Camp de l'Arpa del Clot;367402;Volart;0001 0001;Dissabte;2012;10;Octubre;20;9;Mat°;No hi ha causa mediata;431594,76;4585406,24
2012S004626;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0288 0288;Dimarts;2012;6;Juny;26;11;Mat°;No hi ha causa mediata;431650,48;4585306,47
2012S004837;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0270 0270;Dimarts;2012;7;Juliol;3;14;Tarda;No hi ha causa mediata;431274,19;4585103,11
2012S004873;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0270 0270;Dimecres;2012;7;Juliol;4;18;Tarda;No hi ha causa mediata;431274,19;4585103,11
2012S000181;10;Sant Mart°;64;el Camp de l'Arpa del Clot;90502;Cïrsega;0672 0672;Dilluns;2012;1;Gener;9;16;Tarda;No hi ha causa mediata;431545,73;4585004,06
2012S000151;10;Sant Mart°;64;el Camp de l'Arpa del Clot;90502;Cïrsega;0640 0640;Diumenge;2012;1;Gener;8;4;Nit;Alcoholämia;431405,79;4584859,81
2012S000976;10;Sant Mart°;64;el Camp de l'Arpa del Clot;134801;Freser;0090 0090;Dijous;2012;2;Febrer;9;19;Tarda;No hi ha causa mediata;431619,34;4585036,98
2012S005819;10;Sant Mart°;64;el Camp de l'Arpa del Clot;209900;Meridiana;0117B0117B;Dissabte;2012;8;Agost;11;11;Mat°;No hi ha causa mediata;432100,43;4584633,9
2012S005947;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0555 0555;Dilluns;2012;8;Agost;20;12;Mat°;No hi ha causa mediata;431910,19;4584821,44
2012S002334;10;Sant Mart°;64;el Camp de l'Arpa del Clot;270402;Puigmadrona;0038 0038;Divendres;2012;3;Mará;30;15;Tarda;No hi ha causa mediata;431938,56;4584992,75
2012S000371;10;Sant Mart°;65;el Clot;89004;Consell de Cent;0631 0631;Dimarts;2012;1;Gener;17;20;Tarda;No hi ha causa mediata;432099,2;4584443,28
2012S004507;10;Sant Mart°;65;el Clot;161101;Independäncia;0228 0228;Dijous;2012;6;Juny;21;15;Tarda;No hi ha causa mediata;432067,45;4584334,31
2012S005031;10;Sant Mart°;65;el Clot;113506;Escultors Claper¢s;0038 0038;Dimarts;2012;7;Juliol;10;15;Tarda;No hi ha causa mediata;432308,41;4584405,97
2012S005459;10;Sant Mart°;65;el Clot;161101;Independäncia;0263 0263;Dijous;2012;7;Juliol;26;16;Tarda;No hi ha causa mediata;431955,85;4584417,69
