Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal ;Descripcio_dia_setmana;NK_Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_mediata;Coordenada_UTM_X;Coordenada_UTM_Y
2013S009145;10;Sant Mart°;64;el Camp de l'Arpa del Clot;209900;Meridiana;0201 0201;Dimecres;2013;12;Desembre;18;8;Mat°;No hi ha causa mediata;432116,29;4585368,61
2013S005707;10;Sant Mart°;64;el Camp de l'Arpa del Clot;226400;Las Navas de Tolosa;0293 0293;Dilluns;2013;8;Agost;5;14;Tarda;No hi ha causa mediata;432113,76;4585394,94
2013S009354;10;Sant Mart°;64;el Camp de l'Arpa del Clot;194406;Maragall;0052 0054;Dimarts;2013;12;Desembre;24;20;Tarda;No hi ha causa mediata;431625,93;4585434,72
2013S008561;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0272 0274;Dijous;2013;11;Novembre;28;17;Tarda;No hi ha causa mediata;431315,37;4585145,28
2013S004796;10;Sant Mart°;64;el Camp de l'Arpa del Clot;297001;Sant Antoni Maria Claret;0272 0274;Dimarts;2013;7;Juliol;2;12;Mat°;No hi ha causa mediata;431315,37;4585145,28
2013S003936;10;Sant Mart°;64;el Camp de l'Arpa del Clot;161407;Ind£stria;0274 0274;Divendres;2013;5;Maig;31;11;Mat°;No hi ha causa mediata;431549,59;4585199,49
2013S007405;10;Sant Mart°;64;el Camp de l'Arpa del Clot;134801;Freser;0002 0002;Divendres;2013;10;Octubre;18;13;Mat°;No hi ha causa mediata;431546,15;4584878,95
2013S000494;10;Sant Mart°;64;el Camp de l'Arpa del Clot;350308;Valäncia;0585 0585;Dimarts;2013;1;Gener;22;7;Mat°;No hi ha causa mediata;431943,56;4584665,15
2013S006591;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0518 0518;Dimecres;2013;9;Setembre;18;12;Mat°;No hi ha causa mediata;431675,33;4584558,04
2013S002108;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0520 0520;Dimecres;2013;3;Mará;20;8;Mat°;No hi ha causa mediata;431682,81;4584567,78
2013S005840;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0536 0536;Diumenge;2013;8;Agost;11;18;Tarda;No hi ha causa mediata;431736,13;4584619,91
2013S009345;10;Sant Mart°;64;el Camp de l'Arpa del Clot;350308;Valäncia;0556 0556;Dimarts;2013;12;Desembre;24;10;Mat°;No hi ha causa mediata;431794,83;4584489,3
2013S004454;10;Sant Mart°;64;el Camp de l'Arpa del Clot;191204;Mallorca;0596 0596;Dimarts;2013;6;Juny;18;13;Mat°;No hi ha causa mediata;431989,06;4584867,9
2013S000949;10;Sant Mart°;65;el Clot;18505;Arag¢;0580 0580;Dijous;2013;2;Febrer;7;10;Mat°;No hi ha causa mediata;432060,89;4584555,67
2013S007928;10;Sant Mart°;65;el Clot;89004;Consell de Cent;0621 0621;Dimecres;2013;11;Novembre;6;19;Tarda;No hi ha causa mediata;432061,12;4584405,56
2013S005592;10;Sant Mart°;65;el Clot;89004;Consell de Cent;0631 0631;Dimecres;2013;7;Juliol;31;13;Mat°;No hi ha causa mediata;432099,2;4584443,28
2013S000071;10;Sant Mart°;72;Sant Mart° de Provenáals;30409;Bac de Roda;0201 0201;Divendres;2013;1;Gener;4;18;Tarda;No hi ha causa mediata;432754,98;4585306,82
2013S009291;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0027 0027;Diumenge;2013;12;Desembre;22;12;Mat°;No hi ha causa mediata;432752,43;4585285,75
2013S005671;10;Sant Mart°;72;Sant Mart° de Provenáals;268604;Pont del Treball Digne;0005X0005X;Dissabte;2013;8;Agost;3;9;Mat°;Alcoholämia;433031,75;4586102,59
2013S002021;10;Sant Mart°;72;Sant Mart° de Provenáals;208205;Menorca;0014I0014I;Dilluns;2013;3;Mará;18;13;Mat°;No hi ha causa mediata;432786,48;4585589,59
2013S000464;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0066 0066;Dilluns;2013;1;Gener;21;0;Nit;No hi ha causa mediata;433010,55;4585478,87
2013S007076;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0070 0074;Diumenge;2013;10;Octubre;6;3;Nit;Alcoholämia;433066,85;4585534,2
2013S004061;10;Sant Mart°;72;Sant Mart° de Provenáals;153205;Guip£scoa;0070 0074;Dimarts;2013;6;Juny;4;15;Tarda;No hi ha causa mediata;433066,85;4585534,2
2013S002845;10;Sant Mart°;72;Sant Mart° de Provenáals;60807;CantÖbria;0051 0051;Dissabte;2013;4;Abril;20;5;Nit;No hi ha causa mediata;433123,94;4586055,38
2013S008243;10;Sant Mart°;65;el Clot;350308;Valäncia;0629 0629;Dilluns;2013;11;Novembre;18;11;Mat°;No hi ha causa mediata;432230,35;4584948,06
2013S005615;10;Sant Mart°;65;el Clot;18505;Arag¢;0611 0617;Dijous;2013;8;Agost;1;10;Mat°;No hi ha causa mediata;432178,22;4584721,08
2013S001102;10;Sant Mart°;65;el Clot;18505;Arag¢;0637 0637;Dimecres;2013;2;Febrer;13;6;Mat°;No hi ha causa mediata;432310,2;4584849,17
2013S007004;10;Sant Mart°;65;el Clot;209900;Meridiana;0178 0178;Dijous;2013;10;Octubre;3;15;Tarda;No hi ha causa mediata;432170,02;4585017,02
2013S002429;10;Sant Mart°;65;el Clot;209900;Meridiana;0180 0180;Divendres;2013;4;Abril;5;9;Mat°;No hi ha causa mediata;432170,24;4585034,63
2013S005085;10;Sant Mart°;65;el Clot;191204;Mallorca;0611 0613;Divendres;2013;7;Juliol;12;7;Mat°;No hi ha causa mediata;432174,03;4585079,13
2013S003505;10;Sant Mart°;65;el Clot;350308;Valäncia;0673 0673;Dimecres;2013;5;Maig;15;14;Tarda;No hi ha causa mediata;432449,86;4585160,12
2013S001715;10;Sant Mart°;65;el Clot;180401;Lope de Vega;0303X0303X;Dijous;2013;3;Mará;7;0;Nit;No hi ha causa mediata;432606,16;4585073,74
2013S003745;10;Sant Mart°;65;el Clot;226400;Las Navas de Tolosa;0239 0241;Divendres;2013;5;Maig;24;23;Nit;No hi ha causa mediata;432461,48;4585038,2
2013S006503;10;Sant Mart°;65;el Clot;226400;Las Navas de Tolosa;0239 0241;Dissabte;2013;9;Setembre;14;14;Tarda;No hi ha causa mediata;432461,48;4585038,2
2013S004688;10;Sant Mart°;65;el Clot;153205;Guip£scoa;0016 0016;Dijous;2013;6;Juny;27;23;Nit;No hi ha causa mediata;432690,49;4585166,49
2013S003771;10;Sant Mart°;65;el Clot;60400;Canonge Rod¢;0008 0008;Diumenge;2013;5;Maig;26;3;Nit;No hi ha causa mediata;432251,06;4584795,68
2013S006056;10;Sant Mart°;64;el Camp de l'Arpa del Clot;209900;Meridiana;0135B0135B;Divendres;2013;8;Agost;23;14;Tarda;No hi ha causa mediata;432107,33;4584770,47
2013S006072;10;Sant Mart°;65;el Clot;209900;Meridiana;0154 0154;Dissabte;2013;8;Agost;24;15;Tarda;No hi ha causa mediata;432160,97;4584829,92
2013S000476;10;Sant Mart°;65;el Clot;209900;Meridiana;0168 0170;Dilluns;2013;1;Gener;21;12;Mat°;No hi ha causa mediata;432161,53;4584951,26
2013S005435;10;Sant Mart°;73;la Verneda i la Pau;266405;Prim;0164 0164;Dijous;2013;7;Juliol;25;20;Tarda;No hi ha causa mediata;433895,48;4585960,7
2013S009428;10;Sant Mart°;73;la Verneda i la Pau;15201;Andrade;0220 0220;Diumenge;2013;12;Desembre;29;22;Nit;No hi ha causa mediata;433644,95;4585737,92
2013S009296;10;Sant Mart°;73;la Verneda i la Pau;266405;Prim;0139 0139;Diumenge;2013;12;Desembre;22;16;Tarda;No hi ha causa mediata;433765,77;4585977,49
2013S005623;10;Sant Mart°;73;la Verneda i la Pau;318906;Santander;0063 0063;Dijous;2013;8;Agost;1;13;Mat°;No hi ha causa mediata;433490,77;4586875,02
2013S001914;10;Sant Mart°;73;la Verneda i la Pau;60807;CantÖbria;0080 0080;Dijous;2013;3;Mará;14;11;Mat°;No hi ha causa mediata;433245,27;4586412,15
2013S001907;10;Sant Mart°;73;la Verneda i la Pau;266405;Prim;0159 0159;Dijous;2013;3;Mará;14;0;Nit;Alcoholämia;433653,35;4586092,73
2013S009031;10;Sant Mart°;73;la Verneda i la Pau;318906;Santander;0033 0041;Dissabte;2013;12;Desembre;14;12;Mat°;No hi ha causa mediata;433186,65;4586419,27
2013S003252;10;Sant Mart°;73;la Verneda i la Pau;195409;Maresme;0232 0232;Dissabte;2013;5;Maig;4;22;Nit;No hi ha causa mediata;433648,9;4585965,71
2013S005300;10;Sant Mart°;73;la Verneda i la Pau;700024;Josep Miret;0013 0013;Divendres;2013;7;Juliol;19;23;Nit;No hi ha causa mediata;433165,39;4586137,82
2013S008305;10;Sant Mart°;73;la Verneda i la Pau;318906;Santander;0026 0026;Dimecres;2013;11;Novembre;20;17;Tarda;No hi ha causa mediata;433319,33;4586544,65
2013S001807;10;Sant Mart°;73;la Verneda i la Pau;318906;Santander;0026 0026;Dissabte;2013;3;Mará;9;17;Tarda;No hi ha causa mediata;433319,33;4586544,65
2013S005081;10;Sant Mart°;73;la Verneda i la Pau;318906;Santander;0026 0026;Divendres;2013;7;Juliol;12;6;Mat°;No hi ha causa mediata;433319,33;4586544,65
2013S004482;10;Sant Mart°;73;la Verneda i la Pau;57802;Camp Arriassa;0084 0084;Dimecres;2013;6;Juny;19;12;Mat°;No hi ha causa mediata;433507,26;4586389,99
2013S004548;10;Sant Mart°;73;la Verneda i la Pau;69700;Ca n'Oliva;0081 0081;Divendres;2013;6;Juny;21;14;Tarda;No hi ha causa mediata;433540,99;4586424,26
2013S001286;10;Sant Mart°;70;el Besïs i el Maresme;143609;Josep Pla;0118 0118;Dimarts;2013;2;Febrer;19;19;Tarda;No hi ha causa mediata;434066,62;4585159,38
2013S003501;10;Sant Mart°;70;el Besïs i el Maresme;266405;Prim;0077A0077A;Dimecres;2013;5;Maig;15;12;Mat°;No hi ha causa mediata;434342,57;4585363,6
2013S000089;10;Sant Mart°;71;Provenáals del Poblenou;94300;Crist¢bal de Moura;0137 0137;Dissabte;2013;1;Gener;5;15;Tarda;No hi ha causa mediata;433950,21;4585097,21
2013S002265;10;Sant Mart°;71;Provenáals del Poblenou;322608;Selva de Mar;0084 0084;Dimecres;2013;3;Mará;27;13;Mat°;No hi ha causa mediata;433745,83;4584910,53
2013S000803;10;Sant Mart°;71;Provenáals del Poblenou;342503;Treball;0092X0092X;Divendres;2013;2;Febrer;1;18;Tarda;No hi ha causa mediata;433836,55;4585008,35
2013S002655;10;Sant Mart°;71;Provenáals del Poblenou;30409;Bac de Roda;0100 0108;Divendres;2013;4;Abril;12;19;Tarda;No hi ha causa mediata;433536,88;4584557,54
2013S007571;10;Sant Mart°;71;Provenáals del Poblenou;44403;Bol°via;0316 0316;Dijous;2013;10;Octubre;24;13;Mat°;No hi ha causa mediata;433845,6;4585341,08
2013S008692;10;Sant Mart°;70;el Besïs i el Maresme;94300;Crist¢bal de Moura;0231 0231;Dimarts;2013;12;Desembre;3;0;Nit;No hi ha causa mediata;434422,63;4585555,05
2013S006795;10;Sant Mart°;68;el Poblenou;55501;Calvell;0005 0005;Dilluns;2013;5;Maig;6;19;Tarda;No hi ha causa mediata;433668,11;4583314,3
2013S008918;10;Sant Mart°;68;el Poblenou;183603;Llacuna;0023 0023;Dimecres;2013;12;Desembre;11;12;Mat°;No hi ha causa mediata;433378,76;4583530,74
2013S001856;10;Sant Mart°;68;el Poblenou;183705;Llacuna;0013 0013;Dilluns;2013;3;Mará;11;22;Nit;No hi ha causa mediata;433636,09;4583316,84
2013S003607;10;Sant Mart°;68;el Poblenou;183705;Llacuna;0013 0013;Diumenge;2013;5;Maig;19;14;Tarda;No hi ha causa mediata;433636,09;4583316,84
