Numero_expedient;Codi_districte;Nom_districte;Codi_barri;Nom_barri;Codi_carrer;Nom_carrer;Num_postal;Descripcio_dia_setmana;Any;Mes_any;Nom_mes;Dia_mes;Hora_dia;Descripcio_torn;Descripcio_causa_vianant;Numero_morts;Numero_lesionats_lleus;Numero_lesionats_greus;Numero_victimes;Numero_vehicles_implicats;Coordenada_UTM_X;Coordenada_UTM_Y;Longitud_WGS84;Latitud_WGS84
2021S004031    ;2;Eixample;7;la Dreta de l'Eixample;89004;Consell de Cent;0396 0396;Diumenge;2021;7;Juliol;18;17;Tarda;No és causa del  vianant;0;1;0;1;2;430931,46;4583272,29;2.172.659.084;41.396.174.698
2021S004875    ;2;Eixample;6;la Sagrada Família;289105;Rosselló;0513B0513B;Diumenge;2021;9;Setembre;5;1;Nit;No és causa del  vianant;0;1;0;1;2;431338,45;4584637,52;2.177.372.185;41.408.505.777
2021S000441    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0312 0312;Dijous;2021;1;Gener;28;9;Matí;No és causa del  vianant;0;1;0;1;2;430589,38;4583116,32;2.168.585.331;41.394.740.455
2021S004394    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0330 0332;Dijous;2021;8;Agost;5;15;Tarda;No és causa del  vianant;0;1;0;1;2;430678,73;4583205,62;2.169.643.800;41.395.552.464
2021S000440    ;2;Eixample;7;la Dreta de l'Eixample;18505;Aragó;0334 0334;Dijous;2021;1;Gener;28;9;Matí;No és causa del  vianant;0;1;0;1;2;430719,12;4583244,96;2.170.122.400;41.395.910.269
2021S001180    ;2;Eixample;7;la Dreta de l'Eixample;31300;Bailèn;0077 0077;Dimarts;2021;3;Març;9;7;Matí;No és causa del  vianant;0;2;0;2;3;430840,28;4583260,19;2.171.569.856;41.396.057.876
2021S000055    ;2;Eixample;6;la Sagrada Família;89004;Consell de Cent;0583 0583;Dimarts;2021;1;Gener;5;10;Matí;No és causa del  vianant;0;1;0;1;2;431876,6;4584226,14;2.183.856.601;41.404.846.416
2021S007186    ;2;Eixample;6;la Sagrada Família;68900;Cartagena;0209 0209;Dissabte;2021;12;Desembre;11;10;Matí;Desobeir el senyal del semàfor;0;1;0;1;1;431659,38;4584333,86;2.181.245.895;41.405.798.170
2021S004958    ;2;Eixample;6;la Sagrada Família;68900;Cartagena;0209 0209;Dimecres;2021;9;Setembre;8;22;Nit;Desobeir el senyal del semàfor;0;1;0;1;1;431659,38;4584333,86;2.181.245.895;41.405.798.170
2021S000861    ;2;Eixample;7;la Dreta de l'Eixample;74404;Catalunya;9999 9999;Divendres;2021;2;Febrer;19;1;Nit;No és causa del  vianant;0;0;0;0;1;430757,04;4582204,89;2.170.694.932;41.386.545.945
